t_list,x_list,v_list,v0_scn,v0_scn_mean,n_scn,N. file,iter,DOE,processed
"[130.96, 131.01000000000002, 131.06, 131.11, 131.16000000000003, 131.21000000000004, 131.26000000000002, 131.31, 131.36, 131.41000000000003, 131.46000000000004, 131.51000000000002, 131.56000000000003, 131.61, 131.66000000000003, 131.71000000000004, 131.76000000000002, 131.81, 131.86, 131.91000000000003, 131.96]","[array([ 89.15483896,  90.25319359,  91.35154821,  92.44990284,
        93.54825747,  94.96187155,  96.37548563,  97.78909971,
        99.2027138 , 100.52553198, 101.84835016, 103.17116835,
       104.49398653, 106.10250742, 107.71102831, 109.3195492 ,
       110.92807009, 112.93918955, 114.95030901, 116.96142847,
       118.97254793]), array([106.94509332, 107.85471952, 108.76434572, 109.67397192,
       110.58359811, 111.27437351, 111.9651489 , 112.6559243 ,
       113.34669969, 114.16790817, 114.98911665, 115.81032512,
       116.6315336 , 117.60417602, 118.57681844, 119.54946087,
       120.52210329, 121.20167387, 121.88124445, 122.56081503,
       123.2403856 ]), array([121.49239107, 122.99239107, 124.49239107, 125.99239107,
       127.49239107, 128.99239107, 130.49239107, 131.99239107,
       133.49239107, 134.99239107, 136.49239107, 137.99239107,
       139.49239107, 140.99239107, 142.49239107, 143.99239107,
       145.49239107, 146.99239107, 148.49239107, 149.99239107,
       151.49239107])]","[[21.967092514038086, 18.192523956298828, 30.0], [28.272281646728516, 13.815507888793945, 30.0], [26.456363677978516, 16.424169540405273, 30.0], [32.17041778564453, 19.452848434448242, 30.0], [40.222389221191406, 13.591411590576172, 30.0]]",[30],30.0,10,3,1,"[1, 2, 1]",post
"[139.16000000000003, 139.21000000000004, 139.26000000000002, 139.31, 139.36, 139.41000000000003, 139.46000000000004, 139.51000000000002, 139.56000000000003, 139.61, 139.66000000000003, 139.71000000000004, 139.76000000000002, 139.81, 139.86, 139.91000000000003, 139.96, 140.01000000000002, 140.06, 140.11, 140.16000000000003, 140.21000000000004, 140.26000000000002, 140.31, 140.36, 140.41000000000003, 140.46000000000004, 140.51000000000002, 140.56000000000003, 140.61, 140.66000000000003, 140.71000000000004, 140.76000000000002, 140.81, 140.86, 140.91000000000003, 140.96, 141.01000000000002, 141.06, 141.11, 141.16000000000003, 141.21000000000004, 141.26000000000002, 141.31, 141.36, 141.41000000000003, 141.46000000000004, 141.51000000000002, 141.56000000000003]","[array([ 25.37326223,  27.68585512,  29.99844801,  32.31104089,
        34.62363378,  35.84976923,  37.07590467,  38.30204012,
        39.52817556,  40.75191776,  41.97565996,  43.19940216,
        44.42314436,  46.19192716,  47.96070997,  49.72949278,
        51.49827558,  52.81222183,  54.12616808,  55.44011432,
        56.75406057,  58.2832514 ,  59.81244222,  61.34163305,
        62.87082388,  64.39184009,  65.91285631,  67.43387252,
        68.95488874,  70.35692436,  71.75895998,  73.16099559,
        74.56303121,  76.36274473,  78.16245824,  79.96217176,
        81.76188528,  83.66776277,  85.57364027,  87.47951776,
        89.38539526,  90.67718546,  91.96897565,  93.26076585,
        94.55255605,  95.93078481,  97.30901357,  98.68724233,
       100.06547109]), array([60.26429634, 60.5944308 , 60.92456527, 61.25469973, 61.58483419,
       61.80343821, 62.02204223, 62.24064624, 62.45925026, 62.6668606 ,
       62.87447095, 63.08208129, 63.28969164, 63.51685476, 63.74401789,
       63.97118101, 64.19834414, 64.44935958, 64.70037503, 64.95139048,
       65.20240593, 65.31492637, 65.42744682, 65.53996726, 65.65248771,
       65.75292596, 65.85336421, 65.95380245, 66.0542407 , 66.2288478 ,
       66.4034549 , 66.578062  , 66.7526691 , 66.92649689, 67.10032468,
       67.27415247, 67.44798026, 67.56010362, 67.67222698, 67.78435034,
       67.89647369, 68.09169861, 68.28692353, 68.48214844, 68.67737336,
       68.80333507, 68.92929678, 69.05525849, 69.1812202 ]), array([ 64.36394134,  65.86394134,  67.36394134,  68.86394134,
        70.36394134,  71.86394134,  73.36394134,  74.86394134,
        76.36394134,  77.86394134,  79.36394134,  80.86394134,
        82.36394134,  83.86394134,  85.36394134,  86.86394134,
        88.36394134,  89.86394134,  91.36394134,  92.86394134,
        94.36394134,  95.86394134,  97.36394134,  98.86394134,
       100.36394134, 101.86394134, 103.36394134, 104.86394134,
       106.36394134, 107.86394134, 109.36394134, 110.86394134,
       112.36394134, 113.86394134, 115.36394134, 116.86394134,
       118.36394134, 119.86394134, 121.36394134, 122.86394134,
       124.36394134, 125.86394134, 127.36394134, 128.86394134,
       130.36394134, 131.86394134, 133.36394134, 134.86394134,
       136.36394134])]","[[46.25185775756836, 6.602689266204834, 30.0], [24.522708892822266, 4.372080326080322, 30.0], [24.474843978881836, 4.152206897735596, 30.0], [35.37565612792969, 4.543262481689453, 30.0], [26.2789249420166, 5.020308971405029, 30.0], [30.583816528320312, 2.250408887863159, 30.0], [30.420324325561523, 2.0087649822235107, 30.0], [28.040712356567383, 3.4921419620513916, 30.0], [35.99427032470703, 3.476555824279785, 30.0], [38.117549896240234, 2.242467164993286, 30.0], [25.835803985595703, 3.904498338699341, 30.0], [27.5645751953125, 2.5192341804504395, 30.0]]",[30],30.0,11,3,1,"[1, 2, 1]",post
"[143.76000000000002, 143.81, 143.86, 143.91000000000003, 143.96, 144.01000000000002, 144.06, 144.11, 144.16000000000003, 144.21000000000004, 144.26000000000002, 144.31, 144.36]","[array([56.79606742, 57.78642339, 58.77677935, 59.76713532, 60.75749129,
       62.89485568, 65.03222007, 67.16958445, 69.30694884, 70.94135436,
       72.57575988, 74.21016539, 75.84457091]), array([82.95286638, 83.58830062, 84.22373487, 84.85916912, 85.49460336,
       86.53447515, 87.57434694, 88.61421873, 89.65409051, 90.36605913,
       91.07802774, 91.78999635, 92.50196496]), array([ 99.16944616, 100.66944616, 102.16944616, 103.66944616,
       105.16944616, 106.66944616, 108.16944616, 109.66944616,
       111.16944616, 112.66944616, 114.16944616, 115.66944616,
       117.16944616])]","[[19.807119369506836, 12.708684921264648, 30.0], [42.74728775024414, 20.797435760498047, 30.0], [32.6881103515625, 14.239372253417969, 30.0]]",[30],30.0,12,3,1,"[1, 2, 1]",post
"[149.36, 149.41000000000003, 149.46000000000004, 149.51000000000002, 149.56000000000003, 149.61, 149.66000000000003, 149.71000000000004, 149.76000000000002, 149.81, 149.86, 149.91000000000003, 149.96]","[array([29.60415126, 30.18314406, 30.76213686, 31.34112965, 31.92012245,
       32.12449199, 32.32886154, 32.53323108, 32.73760063, 32.94367541,
       33.1497502 , 33.35582499, 33.56189977]), array([39.17755229, 43.39645793, 47.61536357, 51.83426921, 56.05317484,
       57.31577441, 58.57837397, 59.84097354, 61.1035731 , 62.39270779,
       63.68184249, 64.97097718, 66.26011187]), array([116.84413462, 118.34413462, 119.84413462, 121.34413462,
       122.84413462, 124.34413462, 125.84413462, 127.34413462,
       128.84413462, 130.34413462, 131.84413462, 133.34413462,
       134.84413462])]","[[11.579855918884277, 84.37811279296875, 30.0], [4.087390899658203, 25.251991271972656, 30.0], [4.121495723724365, 25.78269386291504, 30.0]]",[30],30.0,13,3,1,"[1, 2, 1]",post
"[156.16000000000003, 156.21000000000004, 156.26000000000002, 156.31, 156.36, 156.41000000000003, 156.46000000000004, 156.51000000000002, 156.56000000000003, 156.61, 156.66000000000003, 156.71000000000004, 156.76000000000002]","[array([79.47440706, 79.52311143, 79.5718158 , 79.62052017, 79.66922454,
       79.81564347, 79.9620624 , 80.10848133, 80.25490026, 80.37251498,
       80.4901297 , 80.60774442, 80.72535915]), array([79.81813133, 80.57272704, 81.32732275, 82.08191846, 82.83651417,
       83.69374788, 84.5509816 , 85.40821531, 86.26544903, 87.31652516,
       88.36760128, 89.41867741, 90.46975353]), array([117.92772062, 119.42772062, 120.92772062, 122.42772062,
       123.92772062, 125.42772062, 126.92772062, 128.42772062,
       129.92772062, 131.42772062, 132.92772062, 134.42772062,
       135.92772062])]","[[0.9740874171257019, 15.091914176940918, 30.0], [2.9283785820007324, 17.14467430114746, 30.0], [2.352294445037842, 21.021522521972656, 30.0]]",[30],30.0,14,3,1,"[1, 2, 1]",post
"[207.96000000000004, 208.01000000000005, 208.06000000000003, 208.11, 208.16000000000003, 208.21000000000004, 208.26000000000002, 208.31, 208.36, 208.41000000000003, 208.46000000000004, 208.51000000000002, 208.56000000000003, 208.61, 208.66000000000003, 208.71000000000004, 208.76000000000002]","[array([39.23328026, 39.86712506, 40.50096987, 41.13481467, 41.76865948,
       42.47729891, 43.18593834, 43.89457777, 44.6032172 , 45.3669504 ,
       46.13068359, 46.89441679, 47.65814998, 48.45938833, 49.26062668,
       50.06186502, 50.86310337]), array([61.85441216, 62.15227521, 62.45013826, 62.74800132, 63.04586437,
       63.4057643 , 63.76566423, 64.12556415, 64.48546408, 64.95820659,
       65.4309491 , 65.90369161, 66.37643412, 66.82860601, 67.28077791,
       67.73294981, 68.18512171]), array([71.45752599, 72.95752599, 74.45752599, 75.95752599, 77.45752599,
       78.95752599, 80.45752599, 81.95752599, 83.45752599, 84.95752599,
       86.45752599, 87.95752599, 89.45752599, 90.95752599, 92.45752599,
       93.95752599, 95.45752599])]","[[12.676896095275879, 5.957261085510254, 30.0], [14.172788619995117, 7.197998523712158, 30.0], [15.274663925170898, 9.454850196838379, 30.0], [16.02476692199707, 9.043437957763672, 30.0]]",[30],30.0,15,3,1,"[1, 2, 1]",post
"[218.16000000000003, 218.21000000000004, 218.26000000000002, 218.31, 218.36, 218.41000000000003, 218.46000000000004, 218.51000000000002, 218.56000000000003, 218.61, 218.66000000000003, 218.71000000000004, 218.76000000000002, 218.81000000000003, 218.86, 218.91000000000003, 218.96000000000004, 219.01000000000005, 219.06000000000003, 219.11, 219.16000000000003]","[array([37.22625937, 37.72068767, 38.21511597, 38.70954427, 39.20397257,
       39.94325465, 40.68253674, 41.42181882, 42.1611009 , 42.953201  ,
       43.7453011 , 44.53740119, 45.32950129, 46.29242567, 47.25535006,
       48.21827444, 49.18119883, 49.78125433, 50.38130984, 50.98136534,
       51.58142084]), array([48.34161054, 49.5393366 , 50.73706266, 51.93478872, 53.13251478,
       54.79761602, 56.46271726, 58.1278185 , 59.79291975, 61.72829687,
       63.66367399, 65.59905111, 67.53442823, 69.63001157, 71.72559492,
       73.82117826, 75.9167616 , 77.48514387, 79.05352613, 80.62190839,
       82.19029066]), array([ 77.43817715,  78.93817715,  80.43817715,  81.93817715,
        83.43817715,  84.93817715,  86.43817715,  87.93817715,
        89.43817715,  90.93817715,  92.43817715,  93.93817715,
        95.43817715,  96.93817715,  98.43817715,  99.93817715,
       101.43817715, 102.93817715, 104.43817715, 105.93817715,
       107.43817715])]","[[9.888566017150879, 23.95452117919922, 30.0], [14.78564167022705, 33.302024841308594, 30.0], [15.842001914978027, 38.707542419433594, 30.0], [19.258487701416016, 41.91166687011719, 30.0], [12.001110076904297, 31.367645263671875, 30.0]]",[30],30.0,16,3,1,"[1, 2, 1]",post
"[222.96000000000004, 223.01000000000005, 223.06000000000003, 223.11, 223.16000000000003, 223.21000000000004, 223.26000000000002, 223.31, 223.36, 223.41000000000003, 223.46000000000004, 223.51000000000002, 223.56000000000003, 223.61, 223.66000000000003, 223.71000000000004, 223.76000000000002]","[array([34.90517347, 36.58678625, 38.26839902, 39.9500118 , 41.63162458,
       44.03429391, 46.43696325, 48.83963258, 51.24230192, 52.700014  ,
       54.15772607, 55.61543815, 57.07315023, 58.89136884, 60.70958746,
       62.52780607, 64.34602468]), array([60.14629337, 61.43138839, 62.71648342, 64.00157844, 65.28667346,
       66.83687497, 68.38707649, 69.937278  , 71.48747951, 72.506627  ,
       73.52577449, 74.54492198, 75.56406947, 76.94695388, 78.32983829,
       79.7127227 , 81.0956071 ]), array([ 79.15405025,  80.65405025,  82.15405025,  83.65405025,
        85.15405025,  86.65405025,  88.15405025,  89.65405025,
        91.15405025,  92.65405025,  94.15405025,  95.65405025,
        97.15405025,  98.65405025, 100.15405025, 101.65405025,
       103.15405025])]","[[33.63225555419922, 25.701900482177734, 30.0], [48.05338668823242, 31.004030227661133, 30.0], [29.15424156188965, 20.382949829101562, 30.0], [36.36437225341797, 27.65768814086914, 30.0]]",[30],30.0,17,3,1,"[1, 2, 1]",post
"[247.36, 247.41000000000003, 247.46000000000004, 247.51000000000002, 247.56000000000003, 247.61, 247.66000000000003, 247.71000000000004, 247.76000000000002, 247.81000000000003, 247.86, 247.91000000000003, 247.96000000000004, 248.01000000000005, 248.06000000000003, 248.11, 248.16000000000003, 248.21000000000004, 248.26000000000002, 248.31, 248.36, 248.41000000000003, 248.46000000000004, 248.51000000000002, 248.56000000000003]","[array([46.77954683, 48.67428427, 50.5690217 , 52.46375913, 54.35849657,
       55.35938854, 56.36028051, 57.36117248, 58.36206446, 59.62642088,
       60.8907773 , 62.15513372, 63.41949015, 64.87622795, 66.33296575,
       67.78970356, 69.24644136, 70.84748869, 72.44853601, 74.04958334,
       75.65063066, 77.29882326, 78.94701586, 80.59520845, 82.24340105]), array([68.97298781, 69.06915603, 69.16532426, 69.26149248, 69.35766071,
       69.42422584, 69.49079096, 69.55735609, 69.62392122, 69.71021985,
       69.79651848, 69.88281711, 69.96911575, 70.07610326, 70.18309077,
       70.29007828, 70.39706579, 70.61097537, 70.82488495, 71.03879453,
       71.25270411, 71.40283815, 71.55297219, 71.70310622, 71.85324026]), array([ 69.06499623,  70.56499623,  72.06499623,  73.56499623,
        75.06499623,  76.56499623,  78.06499623,  79.56499623,
        81.06499623,  82.56499623,  84.06499623,  85.56499623,
        87.06499623,  88.56499623,  90.06499623,  91.56499623,
        93.06499623,  94.56499623,  96.06499623,  97.56499623,
        99.06499623, 100.56499623, 102.06499623, 103.56499623,
       105.06499623])]","[[37.89474868774414, 1.923364520072937, 30.0], [20.017839431762695, 1.331302523612976, 30.0], [25.287128448486328, 1.7259726524353027, 30.0], [29.134756088256836, 2.1397502422332764, 30.0], [32.02094650268555, 4.278191566467285, 30.0], [32.96385192871094, 3.002680778503418, 30.0]]",[30],30.0,18,3,1,"[1, 2, 1]",post
"[269.56, 269.61, 269.66, 269.71000000000004, 269.76000000000005, 269.81000000000006, 269.86, 269.91, 269.96000000000004, 270.01000000000005, 270.06000000000006, 270.11, 270.16, 270.21000000000004, 270.26, 270.31, 270.36, 270.41, 270.46000000000004, 270.51, 270.56, 270.61, 270.66, 270.71000000000004, 270.76000000000005, 270.81000000000006, 270.86, 270.91, 270.96000000000004]","[array([17.07055855, 18.09618912, 19.12181969, 20.14745026, 21.17308083,
       22.27404499, 23.37500915, 24.47597332, 25.57693748, 26.69267836,
       27.80841923, 28.9241601 , 30.03990097, 31.26252108, 32.48514118,
       33.70776129, 34.93038139, 36.12860508, 37.32682877, 38.52505245,
       39.72327614, 40.86558046, 42.00788479, 43.15018911, 44.29249344,
       45.46029291, 46.62809238, 47.79589186, 48.96369133]), array([31.37509173, 32.8224883 , 34.26988486, 35.71728143, 37.16467799,
       38.53574685, 39.90681571, 41.27788457, 42.64895343, 44.10114869,
       45.55334395, 47.00553921, 48.45773448, 49.93091563, 51.40409678,
       52.87727793, 54.35045909, 55.92190503, 57.49335097, 59.06479691,
       60.63624285, 62.21073092, 63.78521899, 65.35970706, 66.93419513,
       68.38763741, 69.8410797 , 71.29452199, 72.74796427]), array([52.12979653, 53.62979653, 55.12979653, 56.62979653, 58.12979653,
       59.62979653, 61.12979653, 62.62979653, 64.12979653, 65.62979653,
       67.12979653, 68.62979653, 70.12979653, 71.62979653, 73.12979653,
       74.62979653, 76.12979653, 77.62979653, 79.12979653, 80.62979653,
       82.12979653, 83.62979653, 85.12979653, 86.62979653, 88.12979653,
       89.62979653, 91.12979653, 92.62979653, 94.12979653])]","[[20.512611389160156, 28.94793128967285, 30.0], [22.019283294677734, 27.421377182006836, 30.0], [22.314817428588867, 29.04390525817871, 30.0], [24.452402114868164, 29.463623046875, 30.0], [23.964473724365234, 31.428918838500977, 30.0], [22.846086502075195, 31.489761352539062, 30.0], [23.355989456176758, 29.068845748901367, 30.0]]",[30],30.0,19,3,1,"[1, 2, 1]",post
