t_list,x_list,v_list,v0_scn,v0_scn_mean,n_scn,N. file,iter
"[253.64, 253.69, 253.74, 253.79, 253.84, 253.89, 253.94, 253.99, 254.04]","[array([26.83550775, 27.90679214, 28.97807653, 30.04936092, 31.12064531,
       32.19904716, 33.27744901, 34.35585086, 35.43425271]), array([44.53373124, 46.26439187, 47.9950525 , 49.72571313, 51.45637376,
       53.15375325, 54.85113274, 56.54851224, 58.24589173]), array([73.06370637, 74.54769539, 76.03168441, 77.51567344, 78.99966246,
       80.48365148, 81.9676405 , 83.45162952, 84.93561854])]","[[21.425687789916992, 34.61321258544922, 29.679780424877347], [21.568037033081055, 33.94758987426758, 29.679780424877347]]","[30, 29.915829315625054, 29.83446432072915, 29.755811492329958, 29.679780424877347]",29.837177110712297,11,1,6
"[262.64, 262.69, 262.74, 262.78999999999996, 262.84, 262.89, 262.94, 262.99, 263.04, 263.09000000000003, 263.14, 263.19, 263.24, 263.29, 263.34000000000003, 263.39, 263.44, 263.49, 263.53999999999996, 263.59, 263.64]","[array([34.13341557, 34.75064221, 35.36786886, 35.98509551, 36.60232216,
       37.24152599, 37.88072983, 38.51993366, 39.1591375 , 40.13387495,
       41.1086124 , 42.08334986, 43.05808731, 43.65471817, 44.25134903,
       44.84797989, 45.44461075, 45.88842488, 46.33223902, 46.77605315,
       47.21986729]), array([39.81100209, 41.2770839 , 42.74316571, 44.20924752, 45.67532933,
       47.37873967, 49.08215001, 50.78556035, 52.48897069, 54.27241528,
       56.05585988, 57.83930447, 59.62274907, 61.84446862, 64.06618817,
       66.28790772, 68.50962727, 70.4949714 , 72.48031552, 74.46565964,
       76.45100377]), array([53.35816516, 54.89577234, 56.43337953, 57.97098672, 59.5085939 ,
       61.04620109, 62.58380828, 64.12141546, 65.65902265, 67.19662984,
       68.73423702, 70.27184421, 71.8094514 , 73.34705858, 74.88466577,
       76.42227296, 77.95988014, 79.49748733, 81.03509452, 82.5727017 ,
       84.11030889])]","[[12.34453296661377, 29.321636199951172, 30.752143733407475], [12.784076690673828, 34.068206787109375, 30.752143733407475], [19.494749069213867, 35.66889190673828, 30.752143733407475], [11.9326171875, 44.434391021728516, 30.752143733407475], [8.876282691955566, 39.70688247680664, 30.752143733407475]]","[30, 30.19770325647649, 30.388816404403766, 30.573559114066676, 30.752143733407475]",30.382444501670882,12,1,6
"[314.84, 314.89, 314.93999999999994, 314.98999999999995, 315.03999999999996, 315.09, 315.14, 315.18999999999994, 315.23999999999995, 315.28999999999996, 315.34, 315.39, 315.44, 315.49, 315.53999999999996, 315.59, 315.64]","[array([14.49940545, 16.3592344 , 18.21906335, 20.0788923 , 21.93872125,
       23.8162483 , 25.69377534, 27.57130239, 29.44882944, 31.34956987,
       33.2503103 , 35.15105073, 37.05179117, 38.98844755, 40.92510393,
       42.86176031, 44.79841669]), array([50.3779938 , 51.2894705 , 52.20094721, 53.11242392, 54.02390063,
       54.88112271, 55.73834479, 56.59556687, 57.45278895, 58.24119008,
       59.0295912 , 59.81799233, 60.60639346, 61.49015238, 62.37391131,
       63.25767023, 64.14142916]), array([67.92920197, 69.43507501, 70.94094805, 72.44682109, 73.95269413,
       75.45856717, 76.96444021, 78.47031325, 79.97618629, 81.48205933,
       82.98793237, 84.49380541, 85.99967845, 87.5055515 , 89.01142454,
       90.51729758, 92.02317062])]","[[37.19657897949219, 18.229534149169922, 30.11746081247102], [37.550540924072266, 17.144441604614258, 30.11746081247102], [38.014808654785156, 15.768022537231445, 30.11746081247102], [38.73312759399414, 17.67517852783203, 30.11746081247102]]","[30, 30.030874930019955, 30.060720695705736, 30.089571602535504, 30.11746081247102]",30.059725608146444,13,1,6
"[325.23999999999995, 325.28999999999996, 325.34, 325.39, 325.44, 325.49, 325.53999999999996, 325.59, 325.64, 325.69, 325.74, 325.78999999999996, 325.84, 325.89, 325.93999999999994, 325.98999999999995, 326.03999999999996, 326.09, 326.14, 326.18999999999994, 326.23999999999995, 326.28999999999996, 326.34, 326.39, 326.44]","[array([31.50536204, 32.53236533, 33.55936861, 34.5863719 , 35.61337519,
       36.63434267, 37.65531016, 38.67627764, 39.69724512, 40.83214789,
       41.96705065, 43.10195341, 44.23685618, 45.07262373, 45.90839129,
       46.74415884, 47.5799264 , 48.47630587, 49.37268534, 50.26906481,
       51.16544428, 52.24575053, 53.32605677, 54.40636301, 55.48666926]), array([37.23630888, 38.92477209, 40.6132353 , 42.30169851, 43.99016172,
       45.82557184, 47.66098196, 49.49639207, 51.33180219, 53.03703844,
       54.74227468, 56.44751093, 58.15274717, 59.7844906 , 61.41623403,
       63.04797746, 64.67972089, 66.21250421, 67.74528753, 69.27807085,
       70.81085416, 72.6122059 , 74.41355764, 76.21490938, 78.01626112]), array([46.74184727, 48.24060471, 49.73936215, 51.23811959, 52.73687703,
       54.23563448, 55.73439192, 57.23314936, 58.7319068 , 60.23066424,
       61.72942168, 63.22817912, 64.72693656, 66.22569401, 67.72445145,
       69.22320889, 70.72196633, 72.22072377, 73.71948121, 75.21823865,
       76.71699609, 78.21575354, 79.71451098, 81.21326842, 82.71202586])]","[[20.54006576538086, 33.769264221191406, 29.97514882472948], [20.419349670410156, 36.70820236206055, 29.97514882472948], [22.698055267333984, 34.1047248840332, 29.97514882472948], [16.715351104736328, 32.63486862182617, 29.97514882472948], [17.927589416503906, 30.65566635131836, 29.97514882472948], [21.606124877929688, 36.027034759521484, 29.97514882472948]]","[30, 29.993467793375068, 29.98715332697096, 29.981049342780338, 29.97514882472948]",29.98736385757117,14,1,6
"[354.03999999999996, 354.09, 354.14, 354.19, 354.24, 354.28999999999996, 354.34, 354.39, 354.43999999999994, 354.48999999999995, 354.53999999999996, 354.59, 354.64]","[array([48.58337263, 48.73149868, 48.87962474, 49.02775079, 49.17587685,
       49.38110463, 49.58633241, 49.79156019, 49.99678797, 50.09447396,
       50.19215995, 50.28984594, 50.38753194]), array([49.9139655 , 51.18934049, 52.46471547, 53.74009046, 55.01546544,
       56.57521543, 58.13496541, 59.6947154 , 61.25446538, 63.01549596,
       64.77652654, 66.53755712, 68.2985877 ]), array([67.01314733, 68.53022609, 70.04730485, 71.56438361, 73.08146237,
       74.59854113, 76.11561989, 77.63269865, 79.14977741, 80.66685617,
       82.18393494, 83.7010137 , 85.21809246])]","[[2.9625210762023926, 25.50749969482422, 30.341575205590658], [4.104555606842041, 31.19499969482422, 30.341575205590658], [1.9537198543548584, 35.220611572265625, 30.341575205590658]]","[30, 30.089784076470064, 30.176575350391385, 30.26047358184855, 30.341575205590658]",30.173681642860135,15,1,6
"[363.43999999999994, 363.48999999999995, 363.53999999999996, 363.59, 363.64, 363.69, 363.74, 363.78999999999996, 363.84, 363.89, 363.93999999999994, 363.98999999999995, 364.03999999999996]","[array([22.83345733, 23.05272005, 23.27198277, 23.49124549, 23.71050821,
       23.94284952, 24.17519083, 24.40753215, 24.63987346, 24.94204784,
       25.24422222, 25.54639659, 25.84857097]), array([28.32730719, 29.9208716 , 31.51443602, 33.10800043, 34.70156485,
       36.24499546, 37.78842608, 39.33185669, 40.8752873 , 42.57343927,
       44.27159124, 45.96974321, 47.66789518]), array([73.24271281, 74.79929382, 76.35587484, 77.91245586, 79.46903687,
       81.02561789, 82.5821989 , 84.13877992, 85.69536094, 87.25194195,
       88.80852297, 90.36510399, 91.921685  ])]","[[4.385254383087158, 31.871288299560547, 31.13162032954125], [4.646826267242432, 30.86861228942871, 31.13162032954125], [6.043487548828125, 33.96303939819336, 31.13162032954125]]","[30, 30.29744982814884, 30.584984662025843, 30.862935001440384, 31.13162032954125]",30.575397964231264,16,1,6
"[386.64, 386.69, 386.74, 386.78999999999996, 386.84, 386.89, 386.93999999999994, 386.98999999999995, 387.03999999999996, 387.09, 387.14, 387.19, 387.24, 387.28999999999996, 387.34, 387.39, 387.43999999999994]","[array([27.96329849, 28.16117805, 28.3590576 , 28.55693715, 28.7548167 ,
       29.031459  , 29.3081013 , 29.5847436 , 29.8613859 , 30.22317391,
       30.58496192, 30.94674993, 31.30853794, 31.69096962, 32.07340129,
       32.45583296, 32.83826464]), array([29.43132683, 31.28186451, 33.13240219, 34.98293987, 36.83347755,
       38.73001648, 40.6265554 , 42.52309433, 44.41963325, 46.34271446,
       48.26579567, 50.18887688, 52.11195808, 54.07445675, 56.03695541,
       57.99945408, 59.96195274]), array([51.07402836, 52.63328898, 54.1925496 , 55.75181023, 57.31107085,
       58.87033147, 60.4295921 , 61.98885272, 63.54811335, 65.10737397,
       66.66663459, 68.22589522, 69.78515584, 71.34441647, 72.90367709,
       74.46293771, 76.02219834])]","[[3.9575910568237305, 37.0107536315918, 31.18521247692293], [5.532845973968506, 37.93077850341797, 31.18521247692293], [7.23576021194458, 38.46162414550781, 31.18521247692293], [7.6486334800720215, 39.24997329711914, 31.18521247692293]]","[30, 30.311536686269484, 30.612688816330046, 30.903802542055242, 31.18521247692293]",30.60264810431554,17,1,6
"[431.84, 431.89, 431.93999999999994, 431.98999999999995, 432.03999999999996, 432.09, 432.14, 432.19, 432.24]","[array([33.57140921, 34.55625771, 35.54110621, 36.52595471, 37.5108032 ,
       38.48706902, 39.46333483, 40.43960064, 41.41586645]), array([48.43508042, 50.43434743, 52.43361443, 54.43288144, 56.43214844,
       58.33726624, 60.24238404, 62.14750184, 64.05261964]), array([79.49944098, 80.99997462, 82.50050826, 84.00104191, 85.50157555,
       87.00210919, 88.50264283, 90.00317647, 91.50371012])]","[[19.696969985961914, 39.9853401184082, 30.01067283888471], [19.52531623840332, 38.10235595703125, 30.01067283888471]]","[30, 30.002805387999143, 30.005517263064945, 30.00813874229528, 30.01067283888471]",30.00542684644882,18,1,6
"[446.24, 446.28999999999996, 446.34, 446.39, 446.43999999999994, 446.48999999999995, 446.53999999999996, 446.59, 446.64, 446.69, 446.74, 446.78999999999996, 446.84]","[array([17.08434134, 17.7129972 , 18.34165306, 18.97030892, 19.59896479,
       20.17527504, 20.75158529, 21.32789555, 21.9042058 , 22.51254644,
       23.12088709, 23.72922773, 24.33756838]), array([29.59132804, 31.16322307, 32.7351181 , 34.30701312, 35.87890815,
       37.43433217, 38.9897562 , 40.54518022, 42.10060424, 43.75879974,
       45.41699523, 47.07519073, 48.73338623]), array([62.54475553, 64.04193031, 65.53910509, 67.03627986, 68.53345464,
       70.03062942, 71.5278042 , 73.02497898, 74.52215376, 76.01932854,
       77.51650331, 79.01367809, 80.51085287])]","[[12.57311725616455, 31.43790054321289, 29.94349557021388], [11.526205062866211, 31.10848045349121, 29.94349557021388], [12.166812896728516, 33.163909912109375, 29.94349557021388]]","[30, 29.98514763963609, 29.97079035795087, 29.95691165232182, 29.94349557021388]",29.97126904402453,19,1,6
"[447.43999999999994, 447.48999999999995, 447.53999999999996, 447.59, 447.64, 447.69, 447.74, 447.78999999999996, 447.84, 447.89, 447.93999999999994, 447.98999999999995, 448.03999999999996]","[array([45.01376376, 45.47580114, 45.93783851, 46.39987588, 46.86191325,
       47.40108166, 47.94025006, 48.47941847, 49.01858688, 49.32389848,
       49.62921009, 49.9345217 , 50.23983331]), array([49.5350514 , 50.73410364, 51.93315588, 53.13220811, 54.33126035,
       55.89141861, 57.45157686, 59.01173511, 60.57189336, 62.51367956,
       64.45546575, 66.39725195, 68.33903814]), array([63.13879414, 64.65518391, 66.17157368, 67.68796345, 69.20435322,
       70.72074299, 72.23713275, 73.75352252, 75.26991229, 76.78630206,
       78.30269183, 79.8190816 , 81.33547137])]","[[9.240747451782227, 23.98104476928711, 30.32779537151297], [10.783368110656738, 31.20316505432129, 30.32779537151297], [6.106232166290283, 38.835723876953125, 30.32779537151297]]","[30, 30.086162005382214, 30.169451943918208, 30.249965551169673, 30.32779537151297]",30.166674974396614,20,1,6
"[495.84, 495.89, 495.93999999999994, 495.98999999999995, 496.03999999999996, 496.09, 496.14, 496.19, 496.24]","[array([39.78329433, 42.54964355, 45.31599277, 48.08234199, 50.84869121,
       50.84869129, 50.84869138, 50.84869146, 50.84869154]), array([71.34368703, 71.93772485, 72.53176267, 73.12580049, 73.71983831,
       73.72172673, 73.72361516, 73.72550358, 73.72739201]), array([77.21514684, 78.71514684, 80.21514684, 81.71514684, 83.21514684,
       84.71514684, 86.21514684, 87.71514684, 89.21514684])]","[[55.32698440551758, 11.880756378173828, 30.0], [1.6797215494079865e-06, 0.037768490612506866, 30.0]]","[30, 29.785436440043224, 29.578024998751495, 29.37752727216953, 29.18371280314029]",29.58494030282091,21,1,6
"[496.84, 496.89, 496.93999999999994, 496.98999999999995, 497.03999999999996, 497.09, 497.14, 497.19, 497.24, 497.29, 497.34000000000003, 497.39, 497.44, 497.49, 497.53999999999996, 497.59, 497.64]","[array([32.92039697, 32.92041864, 32.92044032, 32.92046199, 32.92048367,
       32.92051095, 32.92053823, 32.92056551, 32.92059279, 32.92061025,
       32.9206277 , 32.92064515, 32.92066261, 32.92067644, 32.92069027,
       32.9207041 , 32.92071792]), array([53.80017695, 53.80515865, 53.81014035, 53.81512205, 53.82010374,
       53.82219597, 53.8242882 , 53.82638043, 53.82847266, 53.8299213 ,
       53.83136994, 53.83281858, 53.83426722, 53.83697986, 53.8396925 ,
       53.84240514, 53.84511777]), array([60.06827863, 61.52814862, 62.9880186 , 64.44788858, 65.90775856,
       67.36762854, 68.82749852, 70.2873685 , 71.74723848, 73.20710846,
       74.66697844, 76.12684843, 77.58671841, 79.04658839, 80.50645837,
       81.96632835, 83.42619833])]","[[0.0004334915429353714, 0.09963393956422806, 29.197399620909227], [0.0005456297076307237, 0.041844580322504044, 29.197399620909227], [0.0003490637172944844, 0.028972817584872246, 29.197399620909227], [0.0002765887475106865, 0.054252758622169495, 29.197399620909227]]","[30, 29.78903406151301, 29.585100320975577, 29.38796437178929, 29.197399620909227]",29.59189967503742,22,1,6
"[499.03999999999996, 499.09, 499.14, 499.19, 499.24, 499.29, 499.34000000000003, 499.39, 499.44]","[array([45.16576677, 45.16580629, 45.16584581, 45.16588534, 45.16592486,
       45.16600769, 45.16609052, 45.16617335, 45.16625618]), array([70.13439753, 70.13992753, 70.14545754, 70.15098754, 70.15651754,
       70.1611414 , 70.16576525, 70.17038911, 70.17501296]), array([77.54219953, 78.96504718, 80.38789483, 81.81074248, 83.23359013,
       84.65643778, 86.07928543, 87.50213309, 88.92498074])]","[[0.0007904254598543048, 0.1106000691652298, 28.456953022329873], [0.001656629960052669, 0.09247709810733795, 28.456953022329873]]","[30, 29.594405432323914, 29.202330683570764, 28.823325093109382, 28.456953022329873]",29.21540284626679,23,1,6
