t_list,x_list,v0_scn,L_scn,n_scn,N. file,LWR_flag
"[240.64, 240.69, 240.74, 240.79, 240.84, 240.89, 240.94, 240.99, 241.04]","[array([37.36149996, 38.95293619, 40.54359651, 42.13351309, 43.72271496,
       45.31122857, 46.89907822, 48.48628632, 50.07287372]), array([72.75365783, 74.05306472, 75.3686823 , 76.69863241, 78.04137558,
       79.39562901, 80.76030963, 82.13449446, 83.5173899 ]), array([81.26168384, 82.9488616 , 84.63603936, 86.32321711, 88.01039487,
       89.69757263, 91.38475038, 93.07192814, 94.7591059 ])]",33.74355513790046,2.0,10,1,Lin
"[253.64, 253.69, 253.74, 253.79, 253.84, 253.89, 253.94, 253.99, 254.04]","[array([26.83550775, 28.20554572, 29.57622978, 30.9475535 , 32.3195092 ,
       33.69208937, 35.06528799, 36.43909915, 37.81351595]), array([44.53373124, 45.96990158, 47.40647807, 48.84345658, 50.28083218,
       51.71860006, 53.15675637, 54.59529732, 56.03421849]), array([73.06370637, 74.60792461, 76.15214284, 77.69636107, 79.24057931,
       80.78479754, 82.32901578, 83.87323401, 85.41745224])]",30.884364679504454,2.0,11,1,Lin
"[262.64, 262.69, 262.74, 262.78999999999996, 262.84, 262.89, 262.94, 262.99, 263.04, 263.09000000000003, 263.14, 263.19, 263.24, 263.29, 263.34000000000003, 263.39, 263.44, 263.49, 263.53999999999996, 263.59, 263.64]","[array([34.13341557, 35.36543735, 36.63335859, 37.9309495 , 39.25362867,
       40.5979104 , 41.96106646, 43.34091599, 44.73568106, 46.14388917,
       47.56430205, 48.99586825, 50.43768619, 51.8889744 , 53.34904853,
       54.81730707, 56.2932175 , 57.77630629, 59.26614776, 60.76235835,
       62.2645916 ]), array([39.81100209, 41.4078687 , 43.0100377 , 44.61721208, 46.22912146,
       47.84551909, 49.46617865, 51.09089248, 52.71946918, 54.35173205,
       55.9875172 , 57.62667272, 59.26905734, 60.91453947, 62.5629959 ,
       64.21431161, 65.86837876, 67.5250963 , 69.18436897, 70.84610708,
       72.51022615]), array([53.35816516, 55.22837797, 57.09859079, 58.9688036 , 60.83901642,
       62.70922923, 64.57944205, 66.44965486, 68.31986768, 70.19008049,
       72.06029331, 73.93050612, 75.80071894, 77.67093175, 79.54114457,
       81.41135738, 83.2815702 , 85.15178301, 87.02199583, 88.89220864,
       90.76242146])]",37.40425629887192,2.0,12,1,Lin
"[314.84, 314.89, 314.93999999999994, 314.98999999999995, 315.03999999999996, 315.09, 315.14, 315.18999999999994, 315.23999999999995, 315.28999999999996, 315.34, 315.39, 315.44, 315.49, 315.53999999999996, 315.59, 315.64]","[array([14.49940545, 16.03323591, 17.5668318 , 19.10019744, 20.63333686,
       22.16625407, 23.69895285, 25.23143712, 26.76371069, 28.29577726,
       29.8276404 , 31.35930364, 32.89077065, 34.4220449 , 35.95312962,
       37.48402815, 39.014744  ]), array([50.3779938 , 51.81834786, 53.2605962 , 54.70467912, 56.15054286,
       57.59813518, 59.04740865, 60.49831514, 61.95080938, 63.40484857,
       64.86039253, 66.31740277, 67.77584011, 69.23566849, 70.6968552 ,
       72.15936763, 73.6231717 ]), array([67.92920197, 69.55370666, 71.17821135, 72.80271604, 74.42722073,
       76.05172543, 77.67623012, 79.30073481, 80.9252395 , 82.54974419,
       84.17424888, 85.79875358, 87.42325827, 89.04776296, 90.67226765,
       92.29677234, 93.92127703])]",32.49009383419833,2.0,13,1,Lin
"[325.23999999999995, 325.28999999999996, 325.34, 325.39, 325.44, 325.49, 325.53999999999996, 325.59, 325.64, 325.69, 325.74, 325.78999999999996, 325.84, 325.89, 325.93999999999994, 325.98999999999995, 326.03999999999996, 326.09, 326.14, 326.18999999999994, 326.23999999999995, 326.28999999999996, 326.34, 326.39, 326.44]","[array([31.50536204, 32.62535746, 33.76701643, 34.92801538, 36.10642693,
       37.30063071, 38.50924572, 39.73108552, 40.96512162, 42.21045395,
       43.46628805, 44.73192046, 46.00672403, 47.29013768, 48.58165365,
       49.88081385, 51.18720188, 52.50043918, 53.8201789 , 55.14610153,
       56.47791412, 57.81534636, 59.15814982, 60.50608994, 61.85895165]), array([37.23630888, 38.58698988, 39.94979222, 41.32354306, 42.70724713,
       44.10005172, 45.50121831, 46.91010371, 48.32614366, 49.74883939,
       51.17774665, 52.61246905, 54.0526507 , 55.49797123, 56.94813916,
       58.4028902 , 59.86198309, 61.32519755, 62.79233105, 64.26319644,
       65.73762158, 67.21544719, 68.6965265 , 70.18072066, 71.66790205]), array([46.74184727, 48.44420458, 50.14656189, 51.84891919, 53.5512765 ,
       55.25363381, 56.95599112, 58.65834843, 60.36070573, 62.06306304,
       63.76542035, 65.46777766, 67.17013497, 68.87249227, 70.57484958,
       72.27720689, 73.9795642 , 75.68192151, 77.38427881, 79.08663612,
       80.78899343, 82.49135074, 84.19370805, 85.89606535, 87.59842266])]",34.047146161140894,2.0,14,1,Lin
"[354.03999999999996, 354.09, 354.14, 354.19, 354.24, 354.28999999999996, 354.34, 354.39, 354.43999999999994, 354.48999999999995, 354.53999999999996, 354.59, 354.64]","[array([48.58337263, 48.67670608, 49.40328753, 50.3432445 , 51.40187794,
       52.53891347, 53.73275176, 54.97022184, 56.24258507, 57.54369613,
       58.8690334 , 60.21516207, 61.57939594]), array([49.9139655 , 51.53519399, 53.15901717, 54.78534259, 56.41408313,
       58.04515666, 59.67848549, 61.31399625, 62.95161945, 64.59128924,
       66.23294299, 67.87652133, 69.52196775]), array([67.01314733, 68.84761397, 70.68208061, 72.51654726, 74.3510139 ,
       76.18548054, 78.01994718, 79.85441382, 81.68888046, 83.5233471 ,
       85.35781374, 87.19228038, 89.02674702])]",36.68933281990027,2.0,15,1,Lin
"[363.43999999999994, 363.48999999999995, 363.53999999999996, 363.59, 363.64, 363.69, 363.74, 363.78999999999996, 363.84, 363.89, 363.93999999999994, 363.98999999999995, 364.03999999999996]","[array([22.83345733, 23.92311752, 25.07630774, 26.2777527 , 27.51746404,
       28.78848677, 30.08574552, 31.40540591, 32.74448459, 34.10060705,
       35.47184544, 36.85661103, 38.25357581]), array([28.32730719, 30.02717477, 31.72722345, 33.42745215, 35.1278598 ,
       36.82844533, 38.5292077 , 40.23014585, 41.93125875, 43.63254539,
       45.33400476, 47.03563584, 48.73743765]), array([73.24271281, 75.03295229, 76.82319177, 78.61343125, 80.40367073,
       82.19391021, 83.98414969, 85.77438918, 87.56462866, 89.35486814,
       91.14510762, 92.9353471 , 94.72558658])]",35.804789625969875,2.269626067737699,16,1,Lin
"[386.64, 386.69, 386.74, 386.78999999999996, 386.84, 386.89, 386.93999999999994, 386.98999999999995, 387.03999999999996, 387.09, 387.14, 387.19, 387.24, 387.28999999999996, 387.34, 387.39, 387.43999999999994]","[array([27.96329849, 28.22715813, 29.14477819, 30.28678914, 31.55410111,
       32.90432748, 34.31467155, 35.77120236, 37.26466705, 38.78855133,
       40.33806061, 41.90954929, 43.50016571, 45.10763061, 46.73008628,
       48.36599705, 50.01407637]), array([29.43132683, 31.3184843 , 33.20730196, 35.09773728, 36.98974955,
       38.88329974, 40.77835037, 42.67486549, 44.57281056, 46.47215237,
       48.37285896, 50.27489961, 52.17824469, 54.0828657 , 55.98873511,
       57.89582639, 59.80411396]), array([51.07402836, 53.15240356, 55.23077877, 57.30915398, 59.38752919,
       61.4659044 , 63.54427961, 65.62265481, 67.70103002, 69.77940523,
       71.85778044, 73.93615565, 76.01453086, 78.09290606, 80.17128127,
       82.24965648, 84.32803169])]",41.567504168086636,2.0,17,1,Lin
"[431.84, 431.89, 431.93999999999994, 431.98999999999995, 432.03999999999996, 432.09, 432.14, 432.19, 432.24]","[array([33.57140921, 35.02409042, 36.4785123 , 37.93462633, 39.3923889 ,
       40.85175722, 42.31269245, 43.7751545 , 45.23910624]), array([48.43508042, 50.00478127, 51.57485383, 53.14529415, 54.71609851,
       56.28726319, 57.8587847 , 59.43065936, 61.00288366]), array([79.49944098, 81.1769574 , 82.85447382, 84.53199024, 86.20950666,
       87.88702308, 89.56453951, 91.24205593, 92.91957235])]",33.55032842007861,2.0,18,1,Lin
"[446.24, 446.28999999999996, 446.34, 446.39, 446.43999999999994, 446.48999999999995, 446.53999999999996, 446.59, 446.64, 446.69, 446.74, 446.78999999999996, 446.84]","[array([17.08434134, 18.32192252, 19.56214403, 20.80490463, 22.05011014,
       23.2976717 , 24.54750707, 25.7995365 , 27.05368654, 28.30988689,
       29.56807314, 30.82818092, 32.09015169]), array([29.59132804, 30.97367935, 32.35627075, 33.73910032, 35.12216615,
       36.50546636, 37.88899913, 39.27276258, 40.65675494, 42.04097441,
       43.42541926, 44.81008773, 46.1949781 ]), array([62.54475553, 64.01629648, 65.48783742, 66.95937837, 68.43091932,
       69.90246027, 71.37400122, 72.84554217, 74.31708311, 75.78862406,
       77.26016501, 78.73170596, 80.20324691])]",29.43081896086186,2.0,19,1,Lin
