t_list,x_list,v_list,v0,n_scn,iter,mse,type,mse_mean,N. file,DOE,processed
"[239.44, 239.49, 239.54, 239.58999999999997, 239.64, 239.69, 239.74, 239.79, 239.84, 239.89, 239.94, 239.99, 240.04, 240.09, 240.14, 240.19, 240.24]","[array([39.95957801, 42.01548354, 44.07138908, 46.12729461, 48.18320014,
       50.04686706, 51.91053397, 53.77420089, 55.63786781, 57.23544805,
       58.83302829, 60.43060853, 62.02818878, 63.51277368, 64.99735858,
       66.48194349, 67.96652839]), array([61.26865033, 62.5399694 , 63.81128847, 65.08260754, 66.35392661,
       67.62524568, 68.89656476, 70.16788383, 71.4392029 , 72.71052197,
       73.98184104, 75.25316011, 76.52447918, 77.79579825, 79.06711733,
       80.3384364 , 81.60975547])]","[[41.11811065673828, 25.426381425217194], [37.273338317871094, 25.426381425217194], [31.95160484313965, 25.426381425217194], [29.69169807434082, 25.426381425217194]]",25.42638142453034,28,500.0,1.6649191417619504,train,1.2579403027662803,1,"[1, 10, 1]",pre
"[310.84, 310.89, 310.93999999999994, 310.98999999999995, 311.03999999999996, 311.09, 311.14, 311.18999999999994, 311.23999999999995]","[array([57.56243538, 59.37133965, 61.18024391, 62.98914818, 64.79805245,
       66.52676052, 68.2554686 , 69.98417668, 71.71288475]), array([74.62191372, 76.03890745, 77.45590117, 78.8728949 , 80.28988862,
       81.70688235, 83.12387607, 84.5408698 , 85.95786352])]","[[36.17808532714844, 28.33987449242317], [34.574161529541016, 28.33987449242317]]",28.339874490954447,40,350.0,0.23573172202642198,train,1.2579403027662803,1,"[1, 10, 1]",pre
"[52.84, 52.89, 52.940000000000005, 52.99000000000001, 53.040000000000006, 53.09, 53.14, 53.190000000000005, 53.24, 53.290000000000006, 53.34, 53.39, 53.440000000000005, 53.49, 53.540000000000006, 53.59, 53.64, 53.69, 53.74, 53.790000000000006, 53.84]","[array([46.99583421, 48.49433675, 49.99283929, 51.49134184, 52.98984438,
       54.37850261, 55.76716085, 57.15581909, 58.54447733, 59.85968681,
       61.17489629, 62.49010578, 63.80531526, 65.0621409 , 66.31896654,
       67.57579218, 68.83261781, 70.22780233, 71.62298685, 73.01817136,
       74.41335588]), array([49.60394991, 51.39959103, 53.19523215, 54.99087327, 56.78651439,
       58.5821555 , 60.37779662, 62.17343774, 63.96907886, 65.76471997,
       67.56036109, 69.35600221, 71.15164333, 72.94728444, 74.74292556,
       76.53856668, 78.3342078 , 80.12984892, 81.92549003, 83.72113115,
       85.51677227])]","[[29.970050811767578, 35.912822353566604], [27.773164749145508, 35.912822353566604], [26.304189682006836, 35.912822353566604], [25.136512756347656, 35.912822353566604], [27.903690338134766, 35.912822353566604]]",35.9128223540259,5,500.0,1.2661109946667208,train,1.2579403027662803,1,"[1, 10, 1]",pre
"[362.84, 362.89, 362.93999999999994, 362.98999999999995, 363.03999999999996, 363.09, 363.14, 363.19, 363.24, 363.28999999999996, 363.34, 363.39, 363.43999999999994, 363.48999999999995, 363.53999999999996, 363.59, 363.64, 363.69, 363.74, 363.78999999999996, 363.84, 363.89, 363.93999999999994, 363.98999999999995, 364.03999999999996]","[array([ 6.42715625,  8.04169787,  9.6562395 , 11.27078112, 12.88532275,
       15.18976268, 17.4942026 , 19.79864253, 22.10308246, 23.69083308,
       25.27858371, 26.86633433, 28.45408496, 29.83620728, 31.21832961,
       32.60045194, 33.98257426, 35.46442393, 36.9462736 , 38.42812327,
       39.90997294, 41.52454909, 43.13912524, 44.75370139, 46.36827754]), array([57.11438368, 58.62816589, 60.1419481 , 61.6557303 , 63.16951251,
       64.68329472, 66.19707692, 67.71085913, 69.22464133, 70.73842354,
       72.25220575, 73.76598795, 75.27977016, 76.79355237, 78.30733457,
       79.82111678, 81.33489899, 82.84868119, 84.3624634 , 85.87624561,
       87.39002781, 88.90381002, 90.41759223, 91.93137443, 93.44515664])]","[[32.29083251953125, 30.275644129823277], [46.08879852294922, 30.275644129823277], [31.75501251220703, 30.275644129823277], [27.642446517944336, 30.275644129823277], [29.636993408203125, 30.275644129823277], [32.29152297973633, 30.275644129823277]]",30.31397642834216,53,500.0,3.344283207502519,train,1.2579403027662803,1,"[1, 10, 1]",pre
"[444.24, 444.28999999999996, 444.34, 444.39, 444.43999999999994, 444.48999999999995, 444.53999999999996, 444.59, 444.64, 444.69, 444.74, 444.78999999999996, 444.84, 444.89, 444.93999999999994, 444.98999999999995, 445.03999999999996, 445.09, 445.14, 445.19, 445.24]","[array([47.60987183, 48.76025253, 49.91063324, 51.06101395, 52.21139465,
       53.3271711 , 54.44294754, 55.55872398, 56.67450043, 57.8402639 ,
       59.00602737, 60.17179085, 61.33755432, 62.51353317, 63.68951202,
       64.86549087, 66.04146973, 67.2022904 , 68.36311108, 69.52393175,
       70.68475243]), array([53.8481793 , 55.27292795, 56.69767661, 58.12242526, 59.54717392,
       60.97192257, 62.39667123, 63.82141988, 65.24616854, 66.67091719,
       68.09566585, 69.5204145 , 70.94516316, 72.36991181, 73.79466047,
       75.21940912, 76.64415778, 78.06890643, 79.49365509, 80.91840374,
       82.34315239])]","[[23.007614135742188, 28.494973095575055], [22.315528869628906, 28.494973095575055], [23.315269470214844, 28.494973095575055], [23.519577026367188, 28.494973095575055], [23.216413497924805, 28.494973095575055]]",28.494973095575055,62,500.0,0.2849789160301156,train,1.2579403027662803,1,"[1, 10, 1]",pre
"[307.23999999999995, 307.28999999999996, 307.34, 307.39, 307.44, 307.49, 307.53999999999996, 307.59, 307.64]","[array([55.85629355, 57.34735524, 58.83841693, 60.32947861, 61.8205403 ,
       63.27356679, 64.72659327, 66.17961976, 67.63264624]), array([72.33364086, 73.72729906, 75.12095726, 76.51461547, 77.90827367,
       79.30193187, 80.69559008, 82.08924828, 83.48290649])]","[[29.82123374938965, 27.873164074053538], [29.060529708862305, 27.873164074053538]]",27.87316406556743,39,500.0,0.0757587385810484,train,1.2579403027662803,1,"[1, 10, 1]",pre
"[294.64, 294.69, 294.74, 294.78999999999996, 294.84, 294.89, 294.94, 294.99, 295.04, 295.09000000000003, 295.14, 295.19, 295.24]","[array([ 7.30515684,  8.54968886,  9.79422087, 11.03875288, 12.2832849 ,
       13.56065583, 14.83802676, 16.11539769, 17.39276862, 18.64622168,
       19.89967474, 21.15312781, 22.40658087]), array([58.25850137, 59.85413094, 61.44976051, 63.04539008, 64.64101964,
       66.23664921, 67.83227878, 69.42790835, 71.02353791, 72.61916748,
       74.21479705, 75.81042662, 77.40605619])]","[[24.890640258789062, 31.912591353278792], [25.54741859436035, 31.912591353278792], [25.069061279296875, 31.912591353278792]]",31.91259141918411,35,500.0,0.965299828690494,train,1.2579403027662803,1,"[1, 10, 1]",pre
"[130.64, 130.69, 130.74, 130.79, 130.84, 130.89, 130.94, 130.99, 131.04, 131.08999999999997, 131.14, 131.19, 131.23999999999998, 131.29, 131.33999999999997, 131.39, 131.44]","[array([40.81361736, 42.00397781, 43.19433826, 44.38469871, 45.57505916,
       47.01599611, 48.45693306, 49.89787   , 51.33880695, 52.98335766,
       54.62790836, 56.27245907, 57.91700977, 59.17189783, 60.42678589,
       61.68167394, 62.936562  ]), array([60.91780746, 62.54022239, 64.16263731, 65.78505223, 67.40746715,
       69.02988208, 70.652297  , 72.27471192, 73.89712684, 75.51954177,
       77.14195669, 78.76437161, 80.38678653, 82.00920145, 83.63161638,
       85.2540313 , 86.87644622])]","[[23.807209014892578, 32.44829844676523], [28.81873893737793, 32.44829844676523], [32.891014099121094, 32.44829844676523], [25.097761154174805, 32.44829844676523]]",33.619245904294075,16,500.0,1.1775743577078595,train,1.2579403027662803,1,"[1, 10, 1]",pre
"[496.84, 496.89, 496.93999999999994, 496.98999999999995, 497.03999999999996, 497.09, 497.14, 497.19, 497.24, 497.29, 497.34000000000003, 497.39, 497.44, 497.49, 497.53999999999996, 497.59, 497.64]","[array([32.92039697, 33.80613754, 34.6918781 , 35.57761867, 36.46335923,
       37.34700792, 38.2306566 , 39.11430528, 39.99795396, 40.87799394,
       41.75803392, 42.6380739 , 43.51811387, 44.5174031 , 45.51669233,
       46.51598155, 47.51527078]), array([53.80017695, 54.73385959, 55.66754222, 56.60122485, 57.53490748,
       58.42136931, 59.30783114, 60.19429297, 61.0807548 , 61.92636256,
       62.77197032, 63.61757808, 64.46318583, 65.41273351, 66.36228118,
       67.31182885, 68.26137652]), array([60.06827863, 61.25182981, 62.43538098, 63.61893215, 64.80248332,
       65.9860345 , 67.16958567, 68.35313684, 69.53668801, 70.72023919,
       71.90379036, 73.08734153, 74.2708927 , 75.45444388, 76.63799505,
       77.82154622, 79.00509739])]","[[17.714811325073242, 18.67365264892578, 23.67102344979692], [17.6729736328125, 17.729236602783203, 23.67102344979692], [17.600799560546875, 16.912155151367188, 23.67102344979692], [19.98578453063965, 18.99095344543457, 23.67102344979692]]",23.671022130117603,103,500.0,0.5135170655156851,train,1.2579403027662803,1,"[1, 10, 1]",pre
"[291.64, 291.69, 291.74, 291.78999999999996, 291.84, 291.89, 291.94, 291.99, 292.04, 292.09000000000003, 292.14, 292.19, 292.24, 292.29, 292.34000000000003, 292.39, 292.44, 292.49, 292.53999999999996, 292.59, 292.64]","[array([19.85343535, 21.73135722, 23.60927909, 25.48720095, 27.36512282,
       29.29027541, 31.215428  , 33.14058058, 35.06573317, 36.93958476,
       38.81343634, 40.68728793, 42.56113951, 44.37541621, 46.1896929 ,
       48.0039696 , 49.81824629, 51.50839255, 53.19853881, 54.88868506,
       56.57883132]), array([48.19389501, 49.85331729, 51.51273957, 53.17216185, 54.83158413,
       56.49100641, 58.15042868, 59.80985096, 61.46927324, 63.12869552,
       64.7881178 , 66.44754008, 68.10696236, 69.76638464, 71.42580692,
       73.08522919, 74.74465147, 76.40407375, 78.06349603, 79.72291831,
       81.38234059])]","[[37.55843734741211, 33.18844557593665], [38.5030517578125, 33.18844557593665], [37.47703170776367, 33.18844557593665], [36.2855339050293, 33.18844557593665], [33.80292510986328, 33.18844557593665]]",34.11909568874992,34,500.0,0.76058708076188,train,1.2579403027662803,1,"[1, 10, 1]",pre
