t_list,x_list,v_list,v0,n_scn,iter,mse,type,mse_mean,N. file,DOE,processed
"[531.64, 531.69, 531.74, 531.79, 531.84, 531.89, 531.94, 531.99, 532.04, 532.0899999999999, 532.14, 532.19, 532.24, 532.29, 532.3399999999999, 532.39, 532.4399999999999, 532.49, 532.54, 532.5899999999999, 532.64, 532.69, 532.74, 532.79, 532.84, 532.89, 532.94, 532.99, 533.04, 533.0899999999999, 533.14, 533.19, 533.24]","[array([ 7.25315605,  9.16856762, 11.08397919, 12.99939076, 14.91480232,
       16.63737618, 18.35995003, 20.08252388, 21.80509773, 23.42656666,
       25.04803559, 26.66950451, 28.29097344, 29.77705284, 31.26313225,
       32.74921166, 34.23529106, 35.70133578, 37.16738049, 38.6334252 ,
       40.09946991, 41.55431744, 43.00916496, 44.46401249, 45.91886002,
       47.32863022, 48.73840042, 50.14817063, 51.55794083, 52.90960222,
       54.26126362, 55.61292502, 56.96458641]), array([45.90580601, 47.02493843, 48.14407085, 49.26320327, 50.38233569,
       51.50146811, 52.62060053, 53.73973296, 54.85886538, 55.9779978 ,
       57.09713022, 58.21626264, 59.33539506, 60.45452748, 61.5736599 ,
       62.69279232, 63.81192474, 64.93105716, 66.05018958, 67.169322  ,
       68.28845442, 69.40758684, 70.52671926, 71.64585169, 72.76498411,
       73.88411653, 75.00324895, 76.12238137, 77.24151379, 78.36064621,
       79.47977863, 80.59891105, 81.71804347])]","[[38.308231353759766, 22.38264841205323], [34.45147705078125, 22.38264841205323], [32.429378509521484, 22.38264841205323], [29.721588134765625, 22.38264841205323], [29.320894241333008, 22.38264841205323], [29.09695053100586, 22.38264841205323], [28.195404052734375, 22.38264841205323], [27.033227920532227, 22.38264841205323]]",22.382648405902955,74,500.0,0.9836946708561654,train,0.6249619467017486,1,"[1, 2, 2, 1]",pre
"[148.04, 148.08999999999997, 148.14, 148.19, 148.23999999999998, 148.29, 148.33999999999997, 148.39, 148.44]","[array([48.20188876, 49.53244982, 50.86301089, 52.19357196, 53.52413302,
       54.79080802, 56.05748301, 57.32415801, 58.590833  ]), array([61.00463006, 62.33519113, 63.66575219, 64.99631326, 66.32687432,
       67.59354932, 68.86022431, 70.12689931, 71.39357431]), array([73.44573965, 74.82848251, 76.21122536, 77.59396822, 78.97671107,
       80.35945392, 81.74219678, 83.12493963, 84.50768249])]","[[26.611221313476562, 26.611221313476562, 27.654857081707483], [25.333499908447266, 25.333499908447266, 27.654857081707483]]",27.622169692475982,86,250.0,0.539439068732715,train,0.6249619467017486,1,"[1, 2, 2, 1]",pre
"[23.64, 23.69, 23.740000000000002, 23.790000000000003, 23.840000000000003, 23.890000000000004, 23.940000000000005, 23.990000000000002, 24.040000000000003, 24.090000000000003, 24.14, 24.19, 24.240000000000002, 24.290000000000003, 24.340000000000003, 24.39, 24.44, 24.490000000000002, 24.54, 24.59, 24.64]","[array([39.20354853, 40.50104962, 41.79855071, 43.0960518 , 44.39355288,
       45.72768107, 47.06180926, 48.39593745, 49.73006564, 51.20553265,
       52.68099967, 54.15646668, 55.6319337 , 57.09295655, 58.5539794 ,
       60.01500226, 61.47602511, 62.75153924, 64.02705336, 65.30256749,
       66.57808162]), array([46.59381456, 47.89131564, 49.18881673, 50.48631782, 51.78381891,
       53.11794709, 54.45207528, 55.78620347, 57.12033166, 58.59579868,
       60.07126569, 61.54673271, 63.02219972, 64.48322257, 65.94424543,
       67.40526828, 68.86629113, 70.14180526, 71.41731939, 72.69283351,
       73.96834764]), array([67.1031215 , 68.65109554, 70.19906958, 71.74704362, 73.29501765,
       74.84299169, 76.39096573, 77.93893977, 79.48691381, 81.03488785,
       82.58286189, 84.13083593, 85.67880997, 87.22678401, 88.77475805,
       90.32273208, 91.87070612, 93.41868016, 94.9666542 , 96.51462824,
       98.06260228])]","[[25.950021743774414, 25.950021743774414, 30.959480782675897], [26.68256378173828, 26.68256378173828, 30.959480782675897], [29.509340286254883, 29.509340286254883, 30.959480782675897], [29.220457077026367, 29.220457077026367, 30.959480782675897], [25.510282516479492, 25.510282516479492, 30.959480782675897]]",31.184420565840114,82,500.0,0.19270621565157206,train,0.6249619467017486,1,"[1, 2, 2, 1]",pre
"[159.84, 159.89, 159.94, 159.99, 160.04, 160.09, 160.14, 160.19, 160.24, 160.29000000000002, 160.34, 160.39, 160.44, 160.49, 160.54, 160.58999999999997, 160.64]","[array([14.5211766 , 15.86450756, 17.20783852, 18.55116947, 19.89450043,
       21.23788956, 22.58127869, 23.92466781, 25.26805694, 26.61129797,
       27.95453899, 29.29778002, 30.64102104, 31.98405483, 33.32708862,
       34.67012241, 36.0131562 ]), array([64.41793091, 65.90788418, 67.39783745, 68.88779072, 70.37774399,
       71.86769727, 73.35765054, 74.84760381, 76.33755708, 77.82751035,
       79.31746362, 80.8074169 , 82.29737017, 83.78732344, 85.27727671,
       86.76722998, 88.25718326])]","[[26.866619110107422, 29.799065436008757], [26.867782592773438, 29.799065436008757], [26.86482048034668, 29.799065436008757], [26.860675811767578, 29.799065436008757]]",29.799065415932866,20,400.0,0.1252556785582217,train,0.6249619467017486,1,"[1, 2, 2, 1]",pre
"[429.24, 429.28999999999996, 429.34, 429.39, 429.43999999999994, 429.48999999999995, 429.53999999999996, 429.59, 429.64, 429.69, 429.74, 429.78999999999996, 429.84]","[array([51.9981054 , 53.6673927 , 55.33668   , 57.0059673 , 58.6752546 ,
       60.40625074, 62.13724687, 63.868243  , 65.59923913, 67.32904355,
       69.05884797, 70.78865239, 72.51845681]), array([63.07899387, 64.41724005, 65.75548623, 67.09373241, 68.43197859,
       69.77022478, 71.10847096, 72.44671714, 73.78496332, 75.1232095 ,
       76.46145568, 77.79970186, 79.13794804])]","[[33.385746002197266, 26.76492362620993], [34.61992263793945, 26.76492362620993], [34.59608840942383, 26.76492362620993]]",26.764923518891287,60,400.0,0.09116985738732297,train,0.6249619467017486,1,"[1, 2, 2, 1]",pre
"[489.03999999999996, 489.09, 489.14, 489.19, 489.24, 489.29, 489.34000000000003, 489.39, 489.44, 489.49, 489.53999999999996, 489.59, 489.64, 489.69, 489.74, 489.78999999999996, 489.84]","[array([55.95429367, 57.31745733, 58.68062099, 60.04378465, 61.40694831,
       62.7698335 , 64.13271869, 65.49560388, 66.85848907, 68.21873287,
       69.57897667, 70.93922046, 72.29946426, 73.67086528, 75.04226631,
       76.41366733, 77.78506836]), array([72.41163269, 73.57911167, 74.74659065, 75.91406962, 77.0815486 ,
       78.24902758, 79.41650655, 80.58398553, 81.75146451, 82.91894348,
       84.08642246, 85.25390144, 86.42138042, 87.58885939, 88.75633837,
       89.92381735, 91.09129632])]","[[27.263273239135742, 23.34957954014589], [27.25770378112793, 23.34957954014589], [27.204875946044922, 23.34957954014589], [27.428020477294922, 23.34957954014589]]",22.729734196719683,71,500.0,1.2794098553325624,train,0.6249619467017486,1,"[1, 2, 2, 1]",pre
"[116.04, 116.09, 116.14000000000001, 116.19000000000001, 116.24000000000001, 116.29, 116.34, 116.39000000000001, 116.44000000000001, 116.49000000000001, 116.54, 116.59, 116.64, 116.69, 116.74000000000001, 116.79, 116.84, 116.89, 116.94, 116.99000000000001, 117.04]","[array([14.2934053 , 15.94134804, 17.58929077, 19.2372335 , 20.88517624,
       22.14795643, 23.41073662, 24.67351681, 25.936297  , 27.29257666,
       28.64885631, 30.00513597, 31.36141563, 33.21238628, 35.06335693,
       36.91432758, 38.76529823, 40.8554359 , 42.94557358, 45.03571125,
       47.12584892]), array([49.15392866, 50.91834759, 52.68276653, 54.44718546, 56.2116044 ,
       57.97602334, 59.74044227, 61.50486121, 63.26928014, 65.03369908,
       66.79811801, 68.56253695, 70.32695588, 72.09137482, 73.85579376,
       75.62021269, 77.38463163, 79.14905056, 80.9134695 , 82.67788843,
       84.44230737])]","[[32.95885467529297, 35.28837871211208], [25.255603790283203, 35.28837871211208], [27.125593185424805, 35.28837871211208], [37.019412994384766, 35.28837871211208], [41.80275344848633, 35.28837871211208]]",35.754459494762024,14,500.0,1.6071055846758036,train,0.6249619467017486,1,"[1, 2, 2, 1]",pre
"[253.64, 253.69, 253.74, 253.79, 253.84, 253.89, 253.94, 253.99, 254.04]","[array([26.83550775, 28.40289676, 29.97028577, 31.53767478, 33.10506379,
       34.57540872, 36.04575364, 37.51609857, 38.98644349]), array([44.53373124, 46.10112025, 47.66850926, 49.23589827, 50.80328729,
       52.27363221, 53.74397713, 55.21432206, 56.68466698]), array([73.06370637, 74.43746975, 75.81123313, 77.18499651, 78.55875989,
       79.93252327, 81.30628665, 82.68005003, 84.0538134 ])]","[[31.347780227661133, 31.347780227661133, 27.475267582111282], [29.406898498535156, 29.406898498535156, 27.475267582111282]]",27.474897828443595,92,350.0,0.20608347473173652,train,0.6249619467017486,1,"[1, 2, 2, 1]",pre
"[358.84, 358.89, 358.93999999999994, 358.98999999999995, 359.03999999999996, 359.09, 359.14, 359.19, 359.24, 359.28999999999996, 359.34, 359.39, 359.43999999999994, 359.48999999999995, 359.53999999999996, 359.59, 359.64]","[array([30.85935169, 32.4490955 , 34.0388393 , 35.62858311, 37.21832691,
       38.81104513, 40.40376335, 41.99648157, 43.58919979, 45.22011009,
       46.85102039, 48.48193069, 50.11284099, 51.75550094, 53.39816089,
       55.04082084, 56.6834808 ]), array([41.67362809, 43.10495019, 44.53627229, 45.96759439, 47.39891648,
       48.83023858, 50.26156068, 51.69288278, 53.12420488, 54.55552698,
       55.98684908, 57.41817118, 58.84949328, 60.28081537, 61.71213747,
       63.14345957, 64.57478167])]","[[31.794876098632812, 28.626441976945873], [31.8543643951416, 28.626441976945873], [32.61820602416992, 28.626441976945873], [32.85319900512695, 28.626441976945873]]",28.626441976920418,51,500.0,0.3621675207351854,train,0.6249619467017486,1,"[1, 2, 2, 1]",pre
"[495.84, 495.89, 495.93999999999994, 495.98999999999995, 496.03999999999996, 496.09, 496.14, 496.19, 496.24]","[array([39.78329433, 40.75619624, 41.72909816, 42.70200008, 43.67490199,
       44.60573247, 45.53656295, 46.46739343, 47.39822391]), array([71.34368703, 72.31658895, 73.28949087, 74.26239278, 75.2352947 ,
       76.16612518, 77.09695566, 78.02778614, 78.95861661]), array([77.21514684, 78.41616976, 79.61719269, 80.81821561, 82.01923853,
       83.22026146, 84.42128438, 85.62230731, 86.82333023])]","[[19.458038330078125, 19.458038330078125, 24.02045847710067], [18.616609573364258, 18.616609573364258, 24.02045847710067]]",23.563094778662812,102,450.0,0.8625875403562008,train,0.6249619467017486,1,"[1, 2, 2, 1]",pre
