t_list,x_list,v0_scn,L_scn,n_scn,N. file,LWR_flag,processed
"[87.84, 87.89, 87.94, 87.99000000000001, 88.04, 88.09, 88.14000000000001, 88.19000000000001, 88.24000000000001, 88.29, 88.34, 88.39000000000001, 88.44000000000001]","[array([10.23316085, 11.76458244, 13.29607913, 14.82765071, 16.35929668,
       17.89101699, 19.42281134, 20.9546794 , 22.486621  , 24.01863577,
       25.55072352, 27.08288394, 28.61511697]), array([61.50467177, 63.0982168 , 64.69176184, 66.28530687, 67.8788519 ,
       69.47239694, 71.06594197, 72.659487  , 74.25303204, 75.84657707,
       77.44012211, 79.03366714, 80.62721217])]",31.870900673893235,2.0,10,1,Lin,pre
"[89.04, 89.09, 89.14000000000001, 89.19000000000001, 89.24000000000001, 89.29, 89.34, 89.39000000000001, 89.44000000000001, 89.49000000000001, 89.54, 89.59, 89.64, 89.69, 89.74000000000001, 89.79, 89.84, 89.89, 89.94, 89.99000000000001, 90.04]","[array([46.85382611, 47.13249527, 47.94185462, 48.94860656, 50.06782428,
       51.26219332, 52.51136064, 53.8027817 , 55.12807119, 56.48129927,
       57.85808424, 59.25508573, 60.66968425, 62.0997825 , 63.54366694,
       64.99991907, 66.46734988, 67.9449489 , 69.43184771, 70.9272955 ,
       72.43063776]), array([48.45590875, 50.26077145, 52.06563416, 53.87049686, 55.67535957,
       57.48022227, 59.28508498, 61.08994769, 62.89481039, 64.6996731 ,
       66.5045358 , 68.30939851, 70.11426121, 71.91912392, 73.72398662,
       75.52884933, 77.33371203, 79.13857474, 80.94343744, 82.74830015,
       84.55316285])]",36.097254101326364,2.0,11,1,Lin,pre
"[90.84, 90.89, 90.94, 90.99000000000001, 91.04, 91.09, 91.14000000000001, 91.19000000000001, 91.24000000000001, 91.29, 91.34, 91.39000000000001, 91.44000000000001]","[array([36.5286558 , 38.27192614, 40.01629751, 41.76175237, 43.50827151,
       45.2558383 , 47.00443695, 48.75405217, 50.5046663 , 52.25626412,
       54.00883153, 55.76235512, 57.51681894]), array([72.48965227, 74.43296893, 76.37628559, 78.31960226, 80.26291892,
       82.20623558, 84.14955224, 86.0928689 , 88.03618557, 89.97950223,
       91.92281889, 93.86613555, 95.80945221])]",38.866333237338175,3.71213827058902,12,1,Lin,pre
"[109.24000000000001, 109.29, 109.34, 109.39000000000001, 109.44000000000001, 109.49000000000001, 109.54, 109.59, 109.64, 109.69, 109.74000000000001, 109.79, 109.84]","[array([50.61401134, 51.99594587, 53.39006853, 54.79535234, 56.21090782,
       57.63595832, 59.06981804, 60.51188123, 61.9616082 , 63.41851739,
       64.88217448, 66.35218643, 67.82819761]), array([63.58482378, 65.37665148, 67.16847918, 68.96030687, 70.75213457,
       72.54396227, 74.33578997, 76.12761767, 77.91944536, 79.71127306,
       81.50310076, 83.29492846, 85.08675616])]",35.83655396363328,3.014053362242379,13,1,Lin,pre
"[116.04, 116.09, 116.14000000000001, 116.19000000000001, 116.24000000000001, 116.29, 116.34, 116.39000000000001, 116.44000000000001, 116.49000000000001, 116.54, 116.59, 116.64, 116.69, 116.74000000000001, 116.79, 116.84, 116.89, 116.94, 116.99000000000001, 117.04]","[array([14.2934053 , 15.87216825, 17.45222665, 19.0335561 , 20.61613445,
       22.19993955, 23.78495101, 25.3711475 , 26.95850873, 28.54701532,
       30.13664862, 31.72739053, 33.31922196, 34.91212567, 36.50608538,
       38.10108494, 39.69710658, 41.29413496, 42.89215544, 44.49115388,
       46.0911139 ]), array([49.15392866, 50.94643855, 52.73894844, 54.53145833, 56.32396822,
       58.11647811, 59.90898801, 61.7014979 , 63.49400779, 65.28651768,
       67.07902757, 68.87153746, 70.66404735, 72.45655724, 74.24906714,
       76.04157703, 77.83408692, 79.62659681, 81.4191067 , 83.21161659,
       85.00412648])]",35.85019782721561,4.169665070117759,14,1,Lin,pre
"[120.84, 120.89, 120.94, 120.99000000000001, 121.04, 121.09, 121.14000000000001, 121.19000000000001, 121.24000000000001, 121.29, 121.34, 121.39000000000001, 121.44000000000001]","[array([46.79901411, 48.25634247, 49.71695212, 51.18070063, 52.64745872,
       54.11710409, 55.58952637, 57.06461601, 58.5422746 , 60.02240751,
       61.50493009, 62.98975585, 64.47680778]), array([61.68468807, 63.36625944, 65.04783082, 66.7294022 , 68.41097357,
       70.09254495, 71.77411632, 73.4556877 , 75.13725907, 76.81883045,
       78.50040182, 80.1819732 , 81.86354457])]",33.63142750895717,2.0,15,1,Lin,pre
"[130.64, 130.69, 130.74, 130.79, 130.84, 130.89, 130.94, 130.99, 131.04, 131.08999999999997, 131.14, 131.19, 131.23999999999998, 131.29, 131.33999999999997, 131.39, 131.44]","[array([40.81361736, 42.19966176, 43.58839654, 44.97972881, 46.37357435,
       47.76985162, 49.16848703, 50.56940496, 51.97253763, 53.37781876,
       54.78518862, 56.19458534, 57.60595287, 59.01923672, 60.43438715,
       61.85135365, 63.27008857]), array([60.91780746, 62.53904164, 64.16027582, 65.78151   , 67.40274417,
       69.02397835, 70.64521253, 72.26644671, 73.88768088, 75.50891506,
       77.13014924, 78.75138342, 80.37261759, 81.99385177, 83.61508595,
       85.23632013, 86.8575543 ])]",32.42468355027913,2.933533611724878,16,1,Lin,pre
"[140.64, 140.69, 140.74, 140.79, 140.84, 140.89, 140.94, 140.99, 141.04, 141.08999999999997, 141.14, 141.19, 141.23999999999998]","[array([33.60622587, 34.91480354, 36.23024341, 37.55223772, 38.88050099,
       40.2147681 , 41.55479242, 42.90034229, 44.25120253, 45.60717086,
       46.9680595 , 48.33368819, 49.70389031]), array([61.61542307, 63.3693063 , 65.12318952, 66.87707275, 68.63095597,
       70.3848392 , 72.13872242, 73.89260565, 75.64648887, 77.4003721 ,
       79.15425533, 80.90813855, 82.66202178])]",35.07766450237389,7.1679858602313065,17,1,Lin,pre
"[142.04, 142.08999999999997, 142.14, 142.19, 142.23999999999998, 142.29, 142.33999999999997, 142.39, 142.44]","[array([46.3698111 , 47.82491132, 49.28045709, 50.73644316, 52.19286512,
       53.64971606, 55.1069922 , 56.56468816, 58.02280051]), array([74.29960074, 75.86669325, 77.43378577, 79.00087829, 80.56797081,
       82.13506333, 83.70215585, 85.26924837, 86.83634089])]",31.34185038674486,2.0,18,1,Lin,pre
"[146.23999999999998, 146.29, 146.33999999999997, 146.39, 146.44, 146.49, 146.54, 146.58999999999997, 146.64]","[array([50.48199846, 51.72817829, 52.97537107, 54.22355612, 55.47271063,
       56.72281495, 57.97385074, 59.22580048, 60.47864387]), array([70.00937965, 71.39718591, 72.78499218, 74.17279845, 75.56060471,
       76.94841098, 78.33621725, 79.72402352, 81.11182978])]",27.75612534621232,2.0,19,1,Lin,pre
