t_list,x_list,v_list,v0_scn,v0_scn_mean,n_scn,N. file,iter,DOE,processed
"[14.240000000000002, 14.290000000000003, 14.340000000000002, 14.39, 14.440000000000001, 14.490000000000002, 14.540000000000001, 14.59, 14.64]","[array([47.39131046, 47.43503739, 47.47876432, 47.52249125, 47.56621818,
       47.58996078, 47.61370339, 47.63744599, 47.6611886 ]), array([51.39004619, 51.65471475, 51.91938331, 52.18405187, 52.44872043,
       52.77569644, 53.10267245, 53.42964846, 53.75662448]), array([71.53057024, 73.03057024, 74.53057024, 76.03057024, 77.53057024,
       79.03057024, 80.53057024, 82.03057024, 83.53057024])]","[[0.8745386004447937, 5.293371200561523, 30.0], [0.4748521149158478, 6.539520263671875, 30.0]]",[30],30.0,0,1,1,"[1, 2, 1]",post
"[23.64, 23.69, 23.740000000000002, 23.790000000000003, 23.840000000000003, 23.890000000000004, 23.940000000000005, 23.990000000000002, 24.040000000000003, 24.090000000000003, 24.14, 24.19, 24.240000000000002, 24.290000000000003, 24.340000000000003, 24.39, 24.44, 24.490000000000002, 24.54, 24.59, 24.64]","[array([39.20354853, 39.31726876, 39.43098899, 39.54470921, 39.65842944,
       39.97976232, 40.30109521, 40.62242809, 40.94376098, 41.53329388,
       42.12282678, 42.71235967, 43.30189257, 43.90018216, 44.49847175,
       45.09676133, 45.69505092, 46.11986013, 46.54466935, 46.96947857,
       47.39428779]), array([46.59381456, 46.93909115, 47.28436775, 47.62964434, 47.97492093,
       48.95603341, 49.93714589, 50.91825837, 51.89937085, 53.65909757,
       55.41882428, 57.178551  , 58.93827771, 60.83580751, 62.7333373 ,
       64.63086709, 66.52839689, 68.01240644, 69.49641599, 70.98042554,
       72.46443509]), array([67.1031215, 68.6031215, 70.1031215, 71.6031215, 73.1031215,
       74.6031215, 76.1031215, 77.6031215, 79.1031215, 80.6031215,
       82.1031215, 83.6031215, 85.1031215, 86.6031215, 88.1031215,
       89.6031215, 91.1031215, 92.6031215, 94.1031215, 95.6031215,
       97.1031215])]","[[2.274404525756836, 6.905531883239746, 30.0], [6.426657676696777, 19.622249603271484, 30.0], [11.790657997131348, 35.19453430175781, 30.0], [11.965791702270508, 37.95059585571289, 30.0], [8.496184349060059, 29.680191040039062, 30.0]]",[30],30.0,1,1,1,"[1, 2, 1]",post
"[72.44, 72.49, 72.53999999999999, 72.59, 72.64, 72.69, 72.74000000000001, 72.79, 72.84, 72.89, 72.94, 72.99000000000001, 73.04, 73.09, 73.14000000000001, 73.19000000000001, 73.24000000000001, 73.29, 73.34, 73.39, 73.44]","[array([ 2.73338702,  4.16661256,  5.59983809,  7.03306363,  8.46628917,
        9.89142306, 11.31655696, 12.74169085, 14.16682475, 15.60590623,
       17.04498771, 18.48406918, 19.92315066, 21.33630202, 22.74945338,
       24.16260474, 25.5757561 , 26.92394498, 28.27213386, 29.62032273,
       30.96851161]), array([24.60125514, 26.80300246, 29.00474978, 31.20649711, 33.40824443,
       35.50689479, 37.60554515, 39.70419551, 41.80284587, 43.67390166,
       45.54495746, 47.41601325, 49.28706904, 51.20090667, 53.11474429,
       55.02858192, 56.94241954, 58.80218421, 60.66194888, 62.52171355,
       64.38147822]), array([57.93441825, 59.43441825, 60.93441825, 62.43441825, 63.93441825,
       65.43441825, 66.93441825, 68.43441825, 69.93441825, 71.43441825,
       72.93441825, 74.43441825, 75.93441825, 77.43441825, 78.93441825,
       80.43441825, 81.93441825, 83.43441825, 84.93441825, 86.43441825,
       87.93441825])]","[[28.66451072692871, 44.03494644165039, 30.0], [28.50267791748047, 41.97300720214844, 30.0], [28.78162956237793, 37.42111587524414, 30.0], [28.26302719116211, 38.27675247192383, 30.0], [26.963777542114258, 37.19529342651367, 30.0]]",[30],30.0,2,1,1,"[1, 2, 1]",post
"[84.24000000000001, 84.29, 84.34, 84.39000000000001, 84.44000000000001, 84.49000000000001, 84.54, 84.59, 84.64, 84.69, 84.74000000000001, 84.79, 84.84]","[array([21.74922515, 22.22051631, 22.69180747, 23.16309863, 23.63438979,
       23.79732149, 23.96025318, 24.12318487, 24.28611656, 24.49982885,
       24.71354114, 24.92725343, 25.14096571]), array([30.53274927, 32.87502146, 35.21729365, 37.55956583, 39.90183802,
       40.91191197, 41.92198591, 42.93205986, 43.94213381, 45.38879299,
       46.83545218, 48.28211136, 49.72877054]), array([72.12361339, 73.62361339, 75.12361339, 76.62361339, 78.12361339,
       79.62361339, 81.12361339, 82.62361339, 84.12361339, 85.62361339,
       87.12361339, 88.62361339, 90.12361339])]","[[9.425823211669922, 46.84544372558594, 30.0], [3.258633852005005, 20.201478958129883, 30.0], [4.274245738983154, 28.933183670043945, 30.0]]",[30],30.0,3,1,1,"[1, 2, 1]",post
"[131.64, 131.69, 131.74, 131.79, 131.84, 131.89, 131.94, 131.99, 132.04]","[array([29.92533961, 30.01591758, 30.10649555, 30.19707353, 30.2876515 ,
       30.37768191, 30.46771231, 30.55774272, 30.64777313]), array([32.50621833, 33.92464684, 35.34307536, 36.76150388, 38.17993239,
       39.7900997 , 41.40026702, 43.01043433, 44.62060164]), array([68.80830847, 70.30830847, 71.80830847, 73.30830847, 74.80830847,
       76.30830847, 77.80830847, 79.30830847, 80.80830847])]","[[1.8115594387054443, 28.36857032775879, 30.0], [1.8006081581115723, 32.203346252441406, 30.0]]",[30],30.0,4,1,1,"[1, 2, 1]",post
"[148.04, 148.08999999999997, 148.14, 148.19, 148.23999999999998, 148.29, 148.33999999999997, 148.39, 148.44]","[array([48.20188876, 48.71969538, 49.23750201, 49.75530863, 50.27311526,
       50.86370779, 51.45430031, 52.04489284, 52.63548537]), array([61.00463006, 61.50716526, 62.00970046, 62.51223566, 63.01477086,
       63.56232225, 64.10987365, 64.65742504, 65.20497644]), array([73.44573965, 74.94573965, 76.44573965, 77.94573965, 79.44573965,
       80.94573965, 82.44573965, 83.94573965, 85.44573965])]","[[10.356132507324219, 10.050704002380371, 30.0], [11.811850547790527, 10.951027870178223, 30.0]]",[30],30.0,5,1,1,"[1, 2, 1]",post
"[161.64, 161.69, 161.74, 161.79, 161.84, 161.89, 161.94, 161.99, 162.04]","[array([28.43130969, 28.76863097, 29.10595225, 29.44327353, 29.78059481,
       30.06781772, 30.35504063, 30.64226354, 30.92948645]), array([35.84145807, 37.32211918, 38.80278028, 40.28344139, 41.7641025 ,
       43.39501146, 45.02592043, 46.65682939, 48.28773836]), array([66.68112381, 68.18112381, 69.68112381, 71.18112381, 72.68112381,
       74.18112381, 75.68112381, 77.18112381, 78.68112381])]","[[6.746425628662109, 29.613222122192383, 30.0], [5.744458198547363, 32.61817932128906, 30.0]]",[30],30.0,6,1,1,"[1, 2, 1]",post
"[164.04, 164.09, 164.14, 164.19, 164.24, 164.29000000000002, 164.34, 164.39, 164.44, 164.49, 164.54, 164.58999999999997, 164.64]","[array([ 1.67315327,  3.06126591,  4.44937855,  5.83749119,  7.22560383,
        8.61501156, 10.00441929, 11.39382702, 12.78323475, 14.1802753 ,
       15.57731586, 16.97435642, 18.37139698]), array([29.8673355 , 31.85188503, 33.83643455, 35.82098407, 37.80553359,
       39.68227042, 41.55900726, 43.43574409, 45.31248092, 47.28696212,
       49.26144332, 51.23592452, 53.21040572]), array([69.96041499, 71.46041499, 72.96041499, 74.46041499, 75.96041499,
       77.46041499, 78.96041499, 80.46041499, 81.96041499, 83.46041499,
       84.96041499, 86.46041499, 87.96041499])]","[[27.762252807617188, 39.69099044799805, 30.0], [27.78815460205078, 37.53473663330078, 30.0], [27.940811157226562, 39.4896240234375, 30.0]]",[30],30.0,7,1,1,"[1, 2, 1]",post
"[215.64, 215.69, 215.74, 215.79, 215.84, 215.89, 215.94, 215.99, 216.04]","[array([ 7.56715783,  8.6922181 ,  9.81727837, 10.94233864, 12.06739892,
       13.32164296, 14.575887  , 15.83013104, 17.08437508]), array([33.0153937 , 34.4825792 , 35.9497647 , 37.41695019, 38.88413569,
       40.47680174, 42.0694678 , 43.66213385, 45.2547999 ]), array([66.04304808, 67.54304808, 69.04304808, 70.54304808, 72.04304808,
       73.54304808, 75.04304808, 76.54304808, 78.04304808])]","[[22.501205444335938, 29.34370994567871, 30.0], [25.084880828857422, 31.853321075439453, 30.0]]",[30],30.0,8,1,1,"[1, 2, 1]",post
"[216.64, 216.69, 216.74, 216.79, 216.84, 216.89, 216.94, 216.99, 217.04]","[array([23.00124099, 23.69094359, 24.3806462 , 25.07034881, 25.76005141,
       26.48390696, 27.2077625 , 27.93161804, 28.65547359]), array([37.4235057 , 38.92469312, 40.42588054, 41.92706796, 43.42825538,
       45.12705489, 46.82585441, 48.52465392, 50.22345344]), array([68.22328745, 69.72328745, 71.22328745, 72.72328745, 74.22328745,
       75.72328745, 77.22328745, 78.72328745, 80.22328745])]","[[13.794052124023438, 30.02374839782715, 30.0], [14.477110862731934, 33.975990295410156, 30.0]]",[30],30.0,9,1,1,"[1, 2, 1]",post
