t_list,x_list,v_list,v0,n_scn,iter,mse,type,mse_mean,N. file,DOE,processed
"[108.84000000000002, 108.89000000000001, 108.94000000000001, 108.99000000000001, 109.04, 109.09, 109.14000000000001, 109.19000000000001, 109.24000000000001, 109.29, 109.34, 109.39000000000001, 109.44000000000001]","[array([54.84994721, 55.8068933 , 56.76383939, 57.72078547, 58.67773156,
       59.4614728 , 60.24521403, 61.02895527, 61.8126965 , 62.74753728,
       63.68237805, 64.61721883, 65.5520596 ]), array([58.56445969, 60.07091282, 61.57736596, 63.08381909, 64.59027222,
       65.43561486, 66.28095749, 67.12630013, 67.97164277, 69.0204234 ,
       70.06920403, 71.11798466, 72.16676529]), array([72.09558373, 73.12511764, 74.15465155, 75.18418546, 76.21371937,
       77.24325328, 78.27278719, 79.3023211 , 80.33185501, 81.36138892,
       82.39092284, 83.42045675, 84.44999066])]","[[19.1389217376709, 30.12906265258789, 20.59067821106056], [15.674824714660645, 16.90685272216797, 20.59067821106056], [18.696815490722656, 20.97561264038086, 20.59067821106056]]",20.549015112613198,3,500.0,0.13788114428577758,train,6.2877713311060495,8,"[1, 2, 1]",post
"[522.64, 522.6899999999999, 522.74, 522.79, 522.8399999999999, 522.8899999999999, 522.9399999999999, 522.99, 523.04]","[array([19.0733761 , 19.78816606, 20.50295602, 21.21774599, 21.93253595,
       22.59845792, 23.2643799 , 23.93030187, 24.59622384]), array([33.80940886, 34.55288463, 35.2963604 , 36.03983617, 36.78331194,
       37.41346627, 38.04362059, 38.67377491, 39.30392924]), array([69.70735711, 70.96515575, 72.2229544 , 73.48075304, 74.73855168,
       75.99635033, 77.25414897, 78.51194762, 79.76974626])]","[[14.295799255371094, 14.869515419006348, 25.155972882593762], [13.318439483642578, 12.603086471557617, 25.155972882593762]]",25.155972882593762,18,500.0,1.7637667840771372,train,6.2877713311060495,8,"[1, 2, 1]",post
"[414.43999999999994, 414.48999999999995, 414.53999999999996, 414.59, 414.64, 414.69, 414.74, 414.78999999999996, 414.84]","[array([15.62518069, 16.71553266, 17.80588462, 18.89623658, 19.98658855,
       21.14103734, 22.29548614, 23.44993493, 24.60438373]), array([49.2779378 , 50.3245451 , 51.3711524 , 52.41775971, 53.46436701,
       54.55140247, 55.63843794, 56.72547341, 57.81250887]), array([79.46040868, 80.19742223, 80.93443577, 81.67144932, 82.40846286,
       83.14547641, 83.88248995, 84.6195035 , 85.35651704])]","[[21.807039260864258, 20.932146072387695, 14.740270892900266], [23.08897590637207, 21.74070930480957, 14.740270892900266]]",14.740228637605922,16,500.0,0.937550910186041,train,6.2877713311060495,8,"[1, 2, 1]",post
"[290.84000000000003, 290.89000000000004, 290.94000000000005, 290.99, 291.04, 291.09000000000003, 291.14, 291.19, 291.24, 291.29, 291.34000000000003, 291.39000000000004, 291.44000000000005]","[array([20.18738595, 21.1289281 , 22.07047025, 23.0120124 , 23.95355454,
       23.95479287, 23.95603119, 23.95726951, 23.95850783, 23.95921832,
       23.95992881, 23.9606393 , 23.96134979]), array([42.29365145, 43.3757568 , 44.45786215, 45.5399675 , 46.62207285,
       46.62209587, 46.62211888, 46.62214189, 46.6221649 , 46.62217368,
       46.62218245, 46.62219123, 46.6222    ]), array([75.46593632, 76.96593632, 78.46593632, 79.96593632, 81.46593632,
       82.96593632, 84.46593632, 85.96593632, 87.46593632, 88.96593632,
       90.46593632, 91.96593632, 93.46593632])]","[[18.830842971801758, 21.642107009887695, 30.0], [0.02476644329726696, 0.00046024774201214314, 30.0], [0.014209776185452938, 0.00017549088806845248, 30.0]]",25.37825024103332,13,400.0,9.601947798655829,train,6.2877713311060495,8,"[1, 2, 1]",post
"[102.24000000000001, 102.29, 102.34, 102.39000000000001, 102.44000000000001, 102.49000000000001, 102.54000000000002, 102.59000000000002, 102.64000000000001, 102.69000000000001, 102.74000000000001, 102.79000000000002, 102.84000000000002, 102.89000000000001, 102.94000000000001, 102.99000000000001, 103.04]","[array([44.34172903, 45.20388093, 46.06603284, 46.92818475, 47.79033666,
       48.63335691, 49.47637716, 50.31939741, 51.16241765, 51.86014448,
       52.5578713 , 53.25559812, 53.95332494, 54.69939814, 55.44547134,
       56.19154454, 56.93761774]), array([53.47732555, 54.40323774, 55.32914993, 56.25506212, 57.18097431,
       58.33539459, 59.48981487, 60.64423515, 61.79865543, 62.85527011,
       63.9118848 , 64.96849948, 66.02511417, 67.24362585, 68.46213752,
       69.6806492 , 70.89916088]), array([64.39488833, 65.96230293, 67.52971753, 69.09713213, 70.66454673,
       72.23196133, 73.79937593, 75.36679053, 76.93420513, 78.50161973,
       80.06903433, 81.63644893, 83.20386352, 84.77127812, 86.33869272,
       87.90610732, 89.47352192])]","[[17.243038177490234, 18.51824378967285, 31.34829198332158], [16.86040496826172, 23.08840560913086, 31.34829198332158], [13.954536437988281, 21.132293701171875, 31.34829198332158], [14.921463966369629, 24.3702335357666, 31.34829198332158]]",31.34829198332158,2,500.0,5.235403584399731,train,6.2877713311060495,8,"[1, 2, 1]",post
"[237.64000000000001, 237.69, 237.74, 237.79000000000002, 237.84, 237.89, 237.94, 237.99, 238.04]","[array([34.19418497, 35.62980528, 37.06542558, 38.50104589, 39.9366662 ,
       39.9366662 , 39.9366662 , 39.9366662 , 39.9366662 ]), array([59.35351445, 60.15310089, 60.95268732, 61.75227376, 62.5518602 ,
       62.55190105, 62.5519419 , 62.55198274, 62.55202359]), array([66.69507987, 68.19507987, 69.69507987, 71.19507987, 72.69507987,
       74.19507987, 75.69507987, 77.19507987, 78.69507987])]","[[28.712406158447266, 15.991728782653809, 30.0], [1.2674539195955958e-09, 0.0008169382927007973, 30.0]]",29.702979242882176,9,300.0,1.2409843931743618,train,6.2877713311060495,8,"[1, 2, 1]",post
"[256.44000000000005, 256.49000000000007, 256.5400000000001, 256.59000000000003, 256.64000000000004, 256.69000000000005, 256.74, 256.79, 256.84000000000003, 256.89000000000004, 256.94000000000005, 256.99, 257.04, 257.09000000000003, 257.14, 257.19, 257.24]","[array([44.43890326, 45.04364698, 45.6483907 , 46.25313441, 46.85787813,
       47.56067583, 48.26347353, 48.96627123, 49.66906893, 50.40335014,
       51.13763134, 51.87191255, 52.60619375, 53.35647852, 54.10676329,
       54.85704806, 55.60733282]), array([44.45345172, 45.10246596, 45.75148019, 46.40049442, 47.04950866,
       47.75849389, 48.46747913, 49.17646436, 49.88544959, 50.70884799,
       51.53224639, 52.35564479, 53.17904319, 53.91609968, 54.65315618,
       55.39021267, 56.12726916]), array([44.63945743, 45.67668029, 46.71390315, 47.75112602, 48.78834888,
       49.1508118 , 49.51327473, 49.87573766, 50.23820058, 51.27922298,
       52.32024537, 53.36126777, 54.40229017, 55.06673862, 55.73118707,
       56.39563552, 57.06008397]), array([66.85510776, 67.73754527, 68.61998278, 69.50242029, 70.38485781,
       71.26729532, 72.14973283, 73.03217034, 73.91460785, 74.79704537,
       75.67948288, 76.56192039, 77.4443579 , 78.32679541, 79.20923292,
       80.09167044, 80.97410795])]","[[12.094874382019043, 12.980284690856934, 20.744457244873047, 17.648750237110747], [14.055953979492188, 14.179704666137695, 7.249258518218994, 17.648750237110747], [14.685624122619629, 16.467967987060547, 20.82044792175293, 17.648750237110747], [15.005695343017578, 14.741129875183105, 13.288969039916992, 17.648750237110747]]",17.10425867466614,20,500.0,2.563797080859797,train,6.2877713311060495,8,"[1, 2, 1]",post
"[130.04, 130.09, 130.14, 130.19, 130.24, 130.29000000000002, 130.34, 130.39, 130.44]","[array([33.52257836, 34.72469171, 35.92680505, 37.12891839, 38.33103173,
       39.47250579, 40.61397985, 41.7554539 , 42.89692796]), array([70.299416  , 71.45374225, 72.6080685 , 73.76239475, 74.91672099,
       76.05930551, 77.20189002, 78.34447454, 79.48705905]), array([77.15612947, 79.20891059, 81.2616917 , 83.31447282, 85.36725393,
       87.42003505, 89.47281616, 91.52559728, 93.57837839])]","[[24.042266845703125, 23.086524963378906, 41.055622304852854], [22.82948112487793, 22.8516902923584, 41.055622304852854]]",41.055622304852854,4,500.0,0.08370001150553984,train,6.2877713311060495,8,"[1, 2, 1]",post
"[251.64000000000001, 251.69, 251.74, 251.79000000000002, 251.84, 251.89, 251.94, 251.99, 252.04, 252.09, 252.14, 252.19, 252.24, 252.29000000000002, 252.34, 252.39, 252.44, 252.49, 252.54000000000002, 252.59, 252.64000000000001]","[array([22.20522727, 23.41715077, 24.62907428, 25.84099778, 27.05292128,
       27.05292128, 27.05292128, 27.05292128, 27.05292128, 27.05292128,
       27.05292128, 27.05292128, 27.05292128, 27.05292128, 27.05292128,
       27.05292128, 27.05292128, 27.05292128, 27.05292128, 27.05292128,
       27.05292128]), array([65.14310879, 66.2922317 , 67.4413546 , 68.59047751, 69.73960042,
       70.16403741, 70.58847441, 71.01291141, 71.43734841, 71.82764866,
       72.21794891, 72.60824916, 72.99854941, 73.39375336, 73.7889573 ,
       74.18416125, 74.5793652 , 74.9791074 , 75.3788496 , 75.77859179,
       76.17833399]), array([68.68525952, 70.18525952, 71.68525952, 73.18525952, 74.68525952,
       76.18525952, 77.68525952, 79.18525952, 80.68525952, 82.18525952,
       83.68525952, 85.18525952, 86.68525952, 88.18525952, 89.68525952,
       91.18525952, 92.68525952, 94.18525952, 95.68525952, 97.18525952,
       98.68525952])]","[[24.23847007751465, 22.982458114624023, 30.0], [4.600071909207575e-20, 8.488739967346191, 30.0], [1.0503235015732926e-17, 7.806005001068115, 30.0], [7.938707877923681e-15, 7.904078960418701, 30.0], [9.012384588613642e-12, 7.99484395980835, 30.0]]",19.824906088024314,12,500.0,32.018609015896836,train,6.2877713311060495,8,"[1, 2, 1]",post
"[225.24, 225.29000000000002, 225.34, 225.39, 225.44, 225.49, 225.54000000000002, 225.59, 225.64000000000001, 225.69, 225.74, 225.79000000000002, 225.84, 225.89, 225.94, 225.99, 226.04, 226.09, 226.14, 226.19, 226.24]","[array([35.10710391, 35.10710391, 35.10710391, 35.10710391, 35.10710391,
       35.10710391, 35.10710391, 35.10710391, 35.10710391, 35.10710391,
       35.10710391, 35.10710391, 35.10710391, 35.10710391, 35.10710391,
       35.10710391, 35.10710391, 35.10710966, 35.10711542, 35.10712118,
       35.10712694]), array([48.35795769, 48.35795769, 48.35795769, 48.35795769, 48.35795769,
       48.35795769, 48.35795769, 48.35795769, 48.35795769, 48.35795769,
       48.35795769, 48.35795769, 48.35795769, 48.35795769, 48.35795769,
       48.35795769, 48.35795769, 48.35795769, 48.35795769, 48.35795769,
       48.35795769]), array([71.01349684, 71.67068118, 72.32786552, 72.98504986, 73.6422342 ,
       74.29941854, 74.95660288, 75.61378721, 76.27097155, 76.92815589,
       77.58534023, 78.24252457, 78.89970891, 79.55689324, 80.21407758,
       80.87126192, 81.52844626, 82.1856306 , 82.84281494, 83.49999928,
       84.15718361])]","[[5.144144464118074e-20, 2.7262965187372284e-36, 13.143686771043459], [4.5158972630266885e-17, 0.0, 13.143686771043459], [1.2641851541289606e-13, 0.0, 13.143686771043459], [7.667058099514179e-10, 0.0, 13.143686771043459], [0.00011514738434925675, 0.0, 13.143686771043459]]",13.143686771043459,7,450.0,21.41537210507263,train,6.2877713311060495,8,"[1, 2, 1]",post
"[239.84, 239.89, 239.94, 239.99, 240.04, 240.09, 240.14, 240.19, 240.24]","[array([48.59390635, 49.34885821, 50.10381007, 50.85876193, 51.61371379,
       52.46288218, 53.31205058, 54.16121897, 55.01038737]), array([52.1040819, 52.1040819, 52.1040819, 52.1040819, 52.1040819,
       52.1040819, 52.1040819, 52.1040819, 52.1040819]), array([83.16761012, 84.6741721 , 86.18073408, 87.68729605, 89.19385803,
       90.70042001, 92.20698198, 93.71354396, 95.22010594])]","[[15.099037170410156, 1.2771787100129828e-11, 30.131239538599125], [16.983367919921875, 4.3858482384057096e-13, 30.131239538599125]]",30.131239538599125,10,500.0,5.1857639748887925,train,6.2877713311060495,8,"[1, 2, 1]",post
"[350.64, 350.69, 350.74, 350.78999999999996, 350.84, 350.89, 350.93999999999994, 350.98999999999995, 351.03999999999996, 351.09, 351.14, 351.19, 351.24, 351.28999999999996, 351.34, 351.39, 351.43999999999994, 351.48999999999995, 351.53999999999996, 351.59, 351.64]","[array([34.07341644, 34.77410737, 35.47479831, 36.17548925, 36.87618018,
       37.51383573, 38.15149127, 38.78914682, 39.42680236, 40.13528973,
       40.8437771 , 41.55226446, 42.26075183, 42.98824803, 43.71574422,
       44.44324042, 45.17073661, 45.95185939, 46.73298217, 47.51410495,
       48.29522773]), array([36.10997558, 36.99868494, 37.88739429, 38.77610364, 39.664813  ,
       40.11110373, 40.55739446, 41.00368519, 41.44997592, 42.33142705,
       43.21287818, 44.09432931, 44.97578044, 45.90024896, 46.82471748,
       47.749186  , 48.67365451, 49.79839044, 50.92312637, 52.0478623 ,
       53.17259822]), array([60.45659703, 61.67667321, 62.89674939, 64.11682557, 65.33690175,
       66.55697793, 67.77705411, 68.9971303 , 70.21720648, 71.43728266,
       72.65735884, 73.87743502, 75.0975112 , 76.31758738, 77.53766356,
       78.75773974, 79.97781592, 81.1978921 , 82.41796828, 83.63804446,
       84.85812064])]","[[14.013818740844727, 17.774187088012695, 24.40152360789233], [12.753110885620117, 8.925814628601074, 24.40152360789233], [14.169747352600098, 17.6290225982666, 24.40152360789233], [14.54992389678955, 18.489370346069336, 24.40152360789233], [15.622455596923828, 22.494718551635742, 24.40152360789233]]",24.017556031657396,14,500.0,1.222183620989323,train,6.2877713311060495,8,"[1, 2, 1]",post
"[593.04, 593.0899999999999, 593.14, 593.19, 593.24, 593.29, 593.3399999999999, 593.39, 593.4399999999999, 593.49, 593.54, 593.5899999999999, 593.64, 593.69, 593.74, 593.79, 593.84, 593.89, 593.94, 593.99, 594.04, 594.0899999999999, 594.14, 594.19, 594.24, 594.29, 594.3399999999999, 594.39, 594.4399999999999]","[array([32.21455126, 33.18920432, 34.16385737, 35.13851042, 36.11316348,
       37.0515461 , 37.98992873, 38.92831135, 39.86669398, 40.83935204,
       41.8120101 , 42.78466816, 43.75732623, 44.67586623, 45.59440623,
       46.51294623, 47.43148623, 48.35814839, 49.28481055, 50.21147271,
       51.13813487, 52.11316863, 53.08820239, 54.06323615, 55.03826991,
       56.06003237, 57.08179484, 58.1035573 , 59.12531977]), array([39.65356444, 40.6536126 , 41.65366076, 42.65370892, 43.65375708,
       44.60353974, 45.5533224 , 46.50310505, 47.45288771, 48.42319611,
       49.39350451, 50.36381291, 51.33412131, 52.23392542, 53.13372954,
       54.03353366, 54.93333777, 55.82257432, 56.71181086, 57.60104741,
       58.49028395, 59.39429415, 60.29830435, 61.20231455, 62.10632475,
       63.03699578, 63.9676668 , 64.89833783, 65.82900885]), array([48.64190589, 49.66969353, 50.69748116, 51.7252688 , 52.75305644,
       53.78084407, 54.80863171, 55.83641934, 56.86420698, 57.89199462,
       58.91978225, 59.94756989, 60.97535752, 62.00314516, 63.0309328 ,
       64.05872043, 65.08650807, 66.1142957 , 67.14208334, 68.16987097,
       69.19765861, 70.22544625, 71.25323388, 72.28102152, 73.30880915,
       74.33659679, 75.36438443, 76.39217206, 77.4199597 ])]","[[19.493061065673828, 20.00096321105957, 20.555752719365884], [18.76765251159668, 18.99565315246582, 20.555752719365884], [19.453161239624023, 19.40616798400879, 20.555752719365884], [18.370800018310547, 17.996082305908203, 20.555752719365884], [18.53324317932129, 17.784730911254883, 20.555752719365884], [19.500675201416016, 18.080204010009766, 20.555752719365884], [20.43524932861328, 18.613420486450195, 20.555752719365884]]",20.297836048725546,19,500.0,4.561716354471875,train,6.2877713311060495,8,"[1, 2, 1]",post
