t_list,x_list,v_list,v0,n_scn,iter,mse,type,mse_mean,N. file,DOE,processed
"[197.60000000000002, 197.65000000000003, 197.70000000000002, 197.75, 197.8, 197.85000000000002, 197.9, 197.95, 198.0, 198.05, 198.10000000000002, 198.15, 198.20000000000002, 198.25, 198.3, 198.35000000000002, 198.4, 198.45000000000002, 198.5, 198.55, 198.60000000000002, 198.65000000000003, 198.70000000000002, 198.75, 198.8]","[array([50.60468409, 50.69468799, 50.78469188, 50.87469578, 50.96469968,
       54.80606206, 58.64742444, 62.48878682, 66.3301492 , 66.3301492 ,
       66.3301492 , 66.3301492 , 66.3301492 , 66.3301492 , 66.3301492 ,
       66.3301492 , 66.3301492 , 66.3301492 , 66.3301492 , 66.3301492 ,
       66.3301492 , 66.3301492 , 66.3301492 , 66.3301492 , 66.3301492 ]), array([55.43468393, 56.93468393, 58.43468393, 59.93468393, 61.43468393,
       62.93468393, 64.43468393, 65.93468393, 67.43468393, 68.93468393,
       70.43468393, 71.93468393, 73.43468393, 74.93468393, 76.43468393,
       77.93468393, 79.43468393, 80.93468393, 82.43468393, 83.93468393,
       85.43468393, 86.93468393, 88.43468393, 89.93468393, 91.43468393])]","[[1.8000779151916504, 30.0], [76.8272476196289, 30.0], [0.0, 30.0], [0.0, 30.0], [0.0, 30.0], [0.0, 30.0]]",30.0,20,1.0,44.57105686583569,train,80.40509766154135,9,"[1, 10, 1]",pre
"[205.8, 205.85000000000002, 205.9, 205.95, 206.0, 206.05, 206.10000000000002, 206.15, 206.20000000000002]","[array([32.17447451, 32.17447451, 32.17447451, 32.17447451, 32.17447451,
       32.17447451, 32.17447451, 32.17447451, 32.17447451]), array([51.57846757, 51.57846757, 51.57846757, 51.57846757, 51.57846757,
       51.57846757, 51.57846757, 51.57846757, 51.57846757]), array([67.82496174, 69.32496174, 70.82496174, 72.32496174, 73.82496174,
       75.32496174, 76.82496174, 78.32496174, 79.82496174])]","[[0.0, 0.0, 30.0], [0.0, 0.0, 30.0]]",30.0,32,1.0,8.353985007827257,train,80.40509766154135,9,"[1, 10, 1]",pre
"[117.0, 117.05, 117.1, 117.15, 117.2, 117.25, 117.30000000000001, 117.35000000000001, 117.4, 117.45, 117.5, 117.55000000000001, 117.60000000000001, 117.65, 117.70000000000002, 117.75000000000001, 117.80000000000001, 117.85000000000001, 117.9, 117.95, 118.0, 118.05, 118.1, 118.15, 118.2, 118.25, 118.30000000000001, 118.35000000000001, 118.4]","[array([17.14410946, 17.14410946, 17.14410946, 17.14410946, 17.14410946,
       17.14410946, 17.14410946, 17.14410946, 17.14410946, 17.14410946,
       17.14410946, 17.14410946, 17.14410946, 17.14410946, 17.14410946,
       17.14410946, 17.14410946, 17.14410946, 17.14410946, 17.14410946,
       17.14410946, 17.14410946, 17.14410946, 17.14410946, 17.14410946,
       17.14410946, 17.14410946, 17.14410946, 17.14410946]), array([42.06447152, 43.56447152, 45.06447152, 46.56447152, 48.06447152,
       49.56447152, 51.06447152, 52.56447152, 54.06447152, 55.56447152,
       57.06447152, 58.56447152, 60.06447152, 61.56447152, 63.06447152,
       64.56447152, 66.06447152, 67.56447152, 69.06447152, 70.56447152,
       72.06447152, 73.56447152, 75.06447152, 76.56447152, 78.06447152,
       79.56447152, 81.06447152, 82.56447152, 84.06447152])]","[[0.0, 30.0], [0.0, 30.0], [0.0, 30.0], [0.0, 30.0], [0.0, 30.0], [0.0, 30.0], [0.0, 30.0]]",30.0,7,1.0,255.11235585445976,train,80.40509766154135,9,"[1, 10, 1]",pre
"[140.0, 140.05, 140.1, 140.14999999999998, 140.2, 140.25, 140.3, 140.35, 140.4]","[array([59.25023729, 59.25023729, 59.25023729, 59.25023729, 59.25023729,
       59.25023729, 59.25023729, 59.25023729, 59.25023729]), array([69.81953059, 71.31953059, 72.81953059, 74.31953059, 75.81953059,
       77.31953059, 78.81953059, 80.31953059, 81.81953059])]","[[0.0, 30.0], [0.0, 30.0]]",30.0,10,1.0,20.42870422619516,train,80.40509766154135,9,"[1, 10, 1]",pre
"[161.60000000000002, 161.65000000000003, 161.70000000000002, 161.75, 161.8, 161.85000000000002, 161.9, 161.95, 162.0, 162.05, 162.1, 162.14999999999998, 162.2, 162.25, 162.3, 162.35, 162.4, 162.45000000000002, 162.5, 162.55, 162.60000000000002, 162.65000000000003, 162.70000000000002, 162.75, 162.8]","[array([49.19422981, 49.19422981, 49.19422981, 49.19422981, 49.19422981,
       49.19422981, 49.19422981, 49.19422981, 49.19422981, 49.19422981,
       49.19422981, 49.19422981, 49.19422981, 49.19422981, 49.19422981,
       49.19422981, 49.19422981, 49.19422981, 49.19422981, 49.19422981,
       49.19422981, 49.19422981, 49.19422981, 49.19422981, 49.19422981]), array([54.1373873, 55.6373873, 57.1373873, 58.6373873, 60.1373873,
       61.6373873, 63.1373873, 64.6373873, 66.1373873, 67.6373873,
       69.1373873, 70.6373873, 72.1373873, 73.6373873, 75.1373873,
       76.6373873, 78.1373873, 79.6373873, 81.1373873, 82.6373873,
       84.1373873, 85.6373873, 87.1373873, 88.6373873, 90.1373873])]","[[0.0, 30.0], [0.0, 30.0], [0.0, 30.0], [0.0, 30.0], [0.0, 30.0], [0.0, 30.0]]",30.0,14,1.0,88.5046128545198,train,80.40509766154135,9,"[1, 10, 1]",pre
"[117.80000000000001, 117.85000000000001, 117.9, 117.95, 118.0, 118.05, 118.1, 118.15, 118.2, 118.25, 118.30000000000001, 118.35000000000001, 118.4]","[array([26.17012148, 26.17012148, 26.17012148, 26.17012148, 26.17012148,
       26.17012148, 26.17012148, 26.17012148, 26.17012148, 26.17012148,
       26.17012148, 26.17012148, 26.17012148]), array([38.12400116, 38.12400116, 38.12400116, 38.12400116, 38.12400116,
       38.12400116, 38.12400116, 38.12400116, 38.12400116, 38.12400116,
       38.12400116, 38.12400116, 38.12400116]), array([67.85743063, 69.35743063, 70.85743063, 72.35743063, 73.85743063,
       75.35743063, 76.85743063, 78.35743063, 79.85743063, 81.35743063,
       82.85743063, 84.35743063, 85.85743063])]","[[0.0, 0.0, 30.0], [0.0, 0.0, 30.0], [0.0, 0.0, 30.0]]",30.0,28,1.0,65.4598711604104,train,80.40509766154135,9,"[1, 10, 1]",pre
"[121.4, 121.45, 121.5, 121.55000000000001, 121.60000000000001, 121.65, 121.70000000000002, 121.75000000000001, 121.80000000000001, 121.85000000000001, 121.9, 121.95, 122.0]","[array([41.88815277, 41.88776371, 41.88737464, 41.88698558, 41.88659652,
       46.6591301 , 46.65336826, 46.64760641, 46.64184456, 51.19230569,
       51.18668731, 51.18106893, 51.17545055]), array([43.63086318, 43.63086303, 43.63086289, 43.63086274, 43.63086259,
       49.89976755, 49.89976739, 49.89976722, 49.89976706, 54.7345452 ,
       54.73454506, 54.73454492, 54.73454478]), array([68.23688061, 69.73688061, 71.23688061, 72.73688061, 74.23688061,
       75.7787731 , 77.2787731 , 78.7787731 , 80.2787731 , 80.92787145,
       82.42787145, 83.92787145, 85.42787145])]","[[-0.007781274616718292, -2.929269157903036e-06, 30.0], [-0.11523693054914474, -3.309414296381874e-06, 30.0], [-0.11236761510372162, -2.794973397612921e-06, 30.0]]",30.0,31,,13.487447811699914,test,10.96672130787598,9,"[1, 10, 1]",pre
"[165.60000000000002, 165.65000000000003, 165.70000000000002, 165.75, 165.8, 165.85000000000002, 165.9, 165.95, 166.0, 166.05, 166.10000000000002, 166.15, 166.20000000000002, 166.25, 166.3, 166.35000000000002, 166.4, 166.45000000000002, 166.5, 166.55, 166.60000000000002, 166.65000000000003, 166.70000000000002, 166.75, 166.8, 166.85000000000002, 166.9, 166.95, 167.0]","[array([56.98511179, 56.98511123, 56.98511067, 56.9851101 , 56.98510954,
       58.14614253, 58.14614216, 58.1461418 , 58.14614143, 60.8302261 ,
       60.83022586, 60.83022562, 60.83022538, 62.79880868, 62.79880858,
       62.79880847, 62.79880837, 65.50926324, 65.50926316, 65.50926308,
       65.50926299, 67.6146006 , 67.61460057, 67.61460054, 67.61460051,
       69.04732811, 69.0473281 , 69.04732809, 69.04732808]), array([ 79.08561295,  80.58561295,  82.08561295,  83.58561295,
        85.08561295,  82.54223763,  84.04223763,  85.54223763,
        87.04223763,  86.00681672,  87.50681672,  89.00681672,
        90.50681672,  89.52562108,  91.02562108,  92.52562108,
        94.02562108,  92.68335302,  94.18335302,  95.68335302,
        97.18335302,  96.66401839,  98.16401839,  99.66401839,
       101.16401839, 100.06525447, 101.56525447, 103.06525447,
       104.56525447])]","[[-1.1255539902776945e-05, 30.0], [-7.341747277678223e-06, 30.0], [-4.827142220165115e-06, 30.0], [-2.098105142067652e-06, 30.0], [-1.6496363741680398e-06, 30.0], [-6.016884412929357e-07, 30.0], [-2.0864713690116332e-07, 30.0]]",30.0,15,,5.36249062433871,test,10.96672130787598,9,"[1, 10, 1]",pre
"[37.79999999999999, 37.849999999999994, 37.89999999999999, 37.94999999999999, 37.99999999999999, 38.04999999999999, 38.099999999999994, 38.14999999999999, 38.19999999999999, 38.249999999999986, 38.29999999999999, 38.349999999999994, 38.39999999999999, 38.44999999999999, 38.49999999999999, 38.55, 38.599999999999994, 38.64999999999999, 38.69999999999999, 38.74999999999999, 38.79999999999999, 38.849999999999994, 38.89999999999999, 38.94999999999999, 38.99999999999999]","[array([35.4797897 , 35.47977647, 35.47976324, 35.47975001, 35.47973678,
       39.75144014, 39.75143309, 39.75142604, 39.75141899, 43.59869137,
       43.59868326, 43.59867514, 43.59866702, 48.59082024, 48.59081476,
       48.59080927, 48.59080379, 53.42770803, 53.42770338, 53.42769873,
       53.42769407, 58.68054194, 58.68053444, 58.68052694, 58.68051944]), array([51.68630857, 51.68383772, 51.68136688, 51.67889603, 51.67642518,
       57.1326763 , 57.1290344 , 57.1253925 , 57.1217506 , 60.71756379,
       60.71577081, 60.71397783, 60.71218486, 66.44269616, 66.44049166,
       66.43828716, 66.43608266, 71.58502134, 71.58127222, 71.57752311,
       71.573774  , 75.94516659, 75.94130811, 75.93744964, 75.93359116]), array([57.69116027, 59.19116027, 60.69116027, 62.19116027, 63.69116027,
       63.70077185, 65.20077185, 66.70077185, 68.20077185, 68.93197796,
       70.43197796, 71.93197796, 73.43197796, 74.20639311, 75.70639311,
       77.20639311, 78.70639311, 78.07632181, 79.57632181, 81.07632181,
       82.57632181, 82.35897676, 83.85897676, 85.35897676, 86.85897676])]","[[-0.00026458510546945035, -0.049416977912187576, 30.0], [-0.00014097838720772415, -0.07283798605203629, 30.0], [-0.00016236859664786607, -0.03585955873131752, 30.0], [-0.00010968565766233951, -0.04408995062112808, 30.0], [-9.306747961090878e-05, -0.07498221099376678, 30.0], [-0.0001500313082942739, -0.07716947793960571, 30.0]]",30.0,26,,12.763530638349643,test,10.96672130787598,9,"[1, 10, 1]",pre
"[186.20000000000002, 186.25, 186.3, 186.35000000000002, 186.4, 186.45000000000002, 186.5, 186.55, 186.60000000000002, 186.65000000000003, 186.70000000000002, 186.75, 186.8, 186.85000000000002, 186.9, 186.95, 187.0, 187.05, 187.10000000000002, 187.15, 187.20000000000002, 187.25, 187.3, 187.35000000000002, 187.4, 187.45000000000002, 187.5, 187.55, 187.60000000000002, 187.65000000000003, 187.70000000000002, 187.75, 187.8, 187.85000000000002, 187.9, 187.95, 188.0, 188.05, 188.10000000000002, 188.15, 188.20000000000002, 188.25, 188.3, 188.35000000000002, 188.4, 188.45000000000002, 188.5, 188.55, 188.60000000000002, 188.65000000000003, 188.70000000000002, 188.75, 188.8, 188.85000000000002, 188.9, 188.95, 189.0, 189.05, 189.10000000000002, 189.15, 189.20000000000002, 189.25, 189.3, 189.35000000000002, 189.4]","[array([52.58457425, 52.58456699, 52.58455973, 52.58455247, 52.58454521,
       52.91233116, 52.9123237 , 52.91231623, 52.91230876, 53.24009533,
       53.24008765, 53.24007996, 53.24007228, 53.56785949, 53.56785159,
       53.56784368, 53.56783578, 53.89562364, 53.89561551, 53.89560738,
       53.89559925, 54.22338779, 54.22337942, 54.22337106, 54.22336269,
       54.55115193, 54.55114332, 54.55113472, 54.55112611, 54.87891607,
       54.87890721, 54.87889835, 54.8788895 , 55.20668019, 55.20667108,
       55.20666197, 55.20665286, 56.35838589, 56.35837133, 56.35835678,
       56.35834223, 59.56093993, 59.56087093, 59.56080193, 59.56073294,
       63.40456642, 63.40412102, 63.40367561, 63.40323021, 67.20561203,
       67.20313836, 67.20066469, 67.19819102, 70.11568681, 70.10996343,
       70.10424005, 70.09851668, 73.00850057, 73.02516646, 73.04183234,
       73.05849823, 74.03868788, 74.0430453 , 74.04740271, 74.05176012]), array([69.91435886, 71.41435886, 72.91435886, 74.41435886, 75.91435886,
       71.68902364, 73.18902364, 74.68902364, 76.18902364, 71.96368841,
       73.46368841, 74.96368841, 76.46368841, 72.23835318, 73.73835318,
       75.23835318, 76.73835318, 72.51301796, 74.01301796, 75.51301796,
       77.01301796, 72.78768273, 74.28768273, 75.78768273, 77.28768273,
       73.06234751, 74.56234751, 76.06234751, 77.56234751, 73.33701228,
       74.83701228, 76.33701228, 77.83701228, 73.61167705, 75.11167705,
       76.61167705, 78.11167705, 73.88634183, 75.38634183, 76.88634183,
       78.38634183, 74.1610066 , 75.6610066 , 77.1610066 , 78.6610066 ,
       74.43567137, 75.93567137, 77.43567137, 78.93567137, 74.71033615,
       76.21033615, 77.71033615, 79.21033615, 74.98500092, 76.48500092,
       77.98500092, 79.48500092, 75.2596657 , 76.7596657 , 78.2596657 ,
       79.7596657 , 76.90051028, 78.40051028, 79.90051028, 81.40051028])]","[[-0.00014519284013658762, 30.0], [-0.00014937427476979792, 30.0], [-0.0001536757335998118, 30.0], [-0.00015810059267096221, 30.0], [-0.0001626528101041913, 30.0], [-0.00016733536904212087, 30.0], [-0.00017215270781889558, 30.0], [-0.00017710796964820474, 30.0], [-0.00018220576748717576, 30.0], [-0.0002910398179665208, 30.0], [-0.001379951136186719, 30.0], [-0.008908038958907127, 30.0], [-0.04947343468666077, 30.0], [-0.1144675612449646, 30.0], [0.33331775665283203, 30.0], [0.0871482640504837, 30.0]]",30.0,17,,15.891603519739716,test,10.96672130787598,9,"[1, 10, 1]",pre
